provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI 2 SUNGAI KUPANG,30303270,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E39B67330544E5988AB6
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI 3 SUNGAI KUPANG,30312215,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD2411F5A420C2C1844F
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI BANGKALAAN DAYAK,30303437,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7D60A356BB9BFF5BFE2
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI BANUA LAWAS,30303439,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E767DEA0E5B10313B9B
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI BATULASUNG,30303441,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ADF444B9A4093467D42F
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI KARANG LIWAR,30311525,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3B0841A13A194CF63C0
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI KARANG PAYAU,30303373,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/641EA15810916AB00FB8
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI LABURAN,30303521,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0B6F6EF874C9A22D656
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI MANGKIRANA,69787209,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6504CC379D221309369
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD NEGERI SIDOMULYO,30303247,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F917A05B705E10F4B650
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SDN 1 SUNGAI KUPANG,30303278,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E11F03BBD30212369906
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SDN BANGKALAAN MELAYU,30303438,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/317C54D2E642C0DC6FFA
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD EKA TJIPTA BUKIT KAPUR,30311547,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF64E52CE22EF3C502A2
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD EKA TJIPTA CANTUNG,30311522,SD,Swasta,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62939DB70BE932C6F670
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SD GUNTUNG TARAP,30311526,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6E32C5541F34E495B10
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SDIT NURUL HUDA CANTUNG,69987115,SD,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE2E3ABA65701496A5D7
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SDS LIPON,30311524,SD,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AB49EC63BFE0C41A903
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SMP NEGERI 1 KELUMPANG HULU,30303351,SMP,Negeri,-,0,0,0,0,0,16,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAEFD4E26EEA0E452D34
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SMP NEGERI 2 KELUMPANG HULU,30303303,SMP,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/947883B23CCABFA1D75C
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SMAN 1 KELUMPANG HULU,30311497,SMA,Negeri,-,0,0,0,0,0,8,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B0B5DB8C893B3FAFC20
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Kelumpang Hulu,SMAS TUT WURI HANDAYANI,30311498,SMA,Swasta,-,0,0,0,0,0,3,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E66B12230F34052D8135
