provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI 1 PANTAI BARU,30303476,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/344B4632D5B825589370
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI 1 SUNGAI PASIR,30303266,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4167453FD084BFBD95B3
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI 2 PANTAI BARU,30303477,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FD22A47D2FFB5EEF34F
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI 2 SUNGAI PASIR,30311518,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCDEDC0CD089935F0833
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI 3 SUNGAI PASIR,30311519,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E57477167439EC8DEB4
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI MANIANG,30303543,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47C7D6AAC6FC115CCA20
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI MEKARPURA,30303527,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7621A28222B73182696
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI SALINO,30314190,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57C7436BFFD006D85EFA
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI SELARU,30311517,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8765124BEA546235BBA
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI SEMISIR,30303254,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/472B2BFD2075E48D290C
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SD NEGERI SUNGUP KANAN NIS 100910,30303240,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BADB94C7F10A36EDE56B
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SMP NEGERI 1 PULAU LAUT TENGAH,30303360,SMP,Negeri,-,0,0,0,0,0,11,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC63F2C56D460A39CF05
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SMP NEGERI 2 PULAU LAUT TENGAH,30303300,SMP,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14E70F8F97B86E670AC4
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SMP NEGERI 3 PULAU LAUT TENGAH,30303316,SMP,Negeri,-,0,0,0,0,0,10,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/346B47E64CDF72CC4586
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SMP NEGERI 4 PULAU LAUT TENGAH,69892438,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F9B3534453E6864B835
Prov. Kalimantan Selatan,Kab. Kotabaru,Kec. Pulau Laut Tengah,SMAN 1 PULAU LAUT TENGAH,30311495,SMA,Negeri,-,0,0,0,0,0,9,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23CAE9B34EDCC3E7626F
