provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 LUNUK BAGANTUNG,30201517,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEF386694948EC89F15E
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TANAH HALUAN,30201677,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B81C8122FA17D9A0A948
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TEWAI HARA,30201655,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/948A01F4DA2D3D3C9D15
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG BATU,30201657,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D9FBA2B0199FA8B6DB0
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG GETAS,30201660,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AD81C7CD86988188880
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG KANIA,30201663,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55E2A282CB7216478DCE
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG PAYANG,30201702,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D696E53FFEB2BBF7A68
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG PENYAHUAN,30204705,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F8A354E3FC1691ECC15
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG SAPIA,30201704,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48C6E13130044788D797
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG TAWAN,30201711,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D11368A696FB8FE34DD0
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG TILAP,30201710,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD565934AD7D80C4231D
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI 1 TUMBANG TORUNG,30201709,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DD74433D015ED216583
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD NEGERI TUMBANG KAMINTING,30201662,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25707D2F7CCF0BCCB265
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SD SWASTA EKA TJIPTA KUAYAN,30205375,SD,Swasta,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23D3B6BEDAD13BD51E65
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SDS EKA TJIPTA BUKIT SANTUAI,69787161,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/993DDD728A969AE6C6CD
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SDS TUNAS AGRO 2,69929347,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/586A51CB753FE126FE93
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SDS1 SEKAR SARI,30201483,SD,Swasta,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8189E2FB6F9BE8D4A725
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SDTUMBANG SALUANG,30204706,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/356F401976A230995B9F
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SMP NEGERI 7 MENTAYA HULU,30203797,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CE6B0D9F47346D9FB07
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SMP NEGERI 8 MENTAYA HULU,30204695,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D57C70ED44161D5920C6
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SMP SEKAR SARI SARPATIM,30203785,SMP,Swasta,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC9BF280B1A7A2A87151
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SMPS EKA TJIPTA KUAYAN,69765811,SMP,Swasta,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B9473E07DCE699D3FF9
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Bukit Santuai,SMKN 1 BUKIT SANTUAI,69857923,SMK,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0206BB1F16109B4583D
