provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 GETAS PEJATEN,20318060,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1477DD6A508AA0DBCCD
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 JATI KULON,20318072,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/542B1CBFDAC7E13F4A10
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 JATI WETAN,20318071,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D52BC2879347E19D21F5
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 JEPANG PAKIS,20318056,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/058791A71DC836EA480A
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 JETIS KAPUAN,20318043,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/075729795AB05CE3599A
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 LORAM KULON,20317918,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF705ACA6735B01F3CCD
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 LORAM WETAN,20317919,SD,Negeri,-,0,0,0,0,0,10,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F36711371F1215AFD4BF
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 MEGAWON,20317915,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA1D3960BA4B0BF3AD20
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 NGEMBAL KULON,20317932,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE113DE77405A2FA5E47
Prov. Jawa Tengah,Kab. Kudus,Kec. Jati,SD 1 PASURUHAN KIDUL,20317927,SD,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A6970B1F063F99A6767
