provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 BABAKANMULYA,20213198,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E41B867361B6D27E602
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 JALAKSANA,20213510,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/131299E4C010C4D4EE36
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 MANISKIDUL,20212869,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A53E846DFAEA2EFF317B
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 MANISLOR,20212866,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F88FEF4C17897F81D39C
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 PEUSING,20212783,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E777E3846A893AA5745
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 SANGKANERANG,20213069,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/929B17FCFF3255D9E5ED
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 SEMBAWA,20213072,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68D4EF78175F7C9B1923
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 SIDAMULYA,20213081,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFD686D0028054730F21
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 SINDANGBARANG,20213039,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/111B69BD669579E2830F
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 1 SUKAMUKTI,20213028,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE764D6D7B937CB1CD14
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 BABAKANMULYA,20213175,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F231179238FB101BA155
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 MANISKIDUL,20212868,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83E97D83118491623475
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 MANISLOR,20212865,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E75715465524C867BCDF
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 PEUSING,20212782,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68DF3C3453B93648F9FB
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 SANGKANERANG,20213068,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D264F3994F700621F7C3
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 SEMBAWA,20213084,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/557BBCD679BD13FDB3CC
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 SIDAMULYA,20213080,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAF98911D0E5AF09CAFC
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 SINDANGBARANG,20213038,SD,Negeri,22 Aug 2019 06:19:08,4,165,6,8,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A92340566912D01002DD
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 2 SUKAMUKTI,20213086,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4CA57705A541295CA78
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 3 JALAKSANA,20213493,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/639AC13F01BBE7DC54C9
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 3 MANISKIDUL,20212867,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4284EBEB8944B69C13A
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 3 MANISLOR,20212864,SD,Negeri,-,0,0,0,1,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3762F4881770DD015B0C
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI 4 JALAKSANA ,20213477,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/758B5F3C9C8AC718D6D1
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI CINIRU,20213593,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75CD71A5CE7021A885D8
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI NANGGERANG,20212716,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8CF0AA0A493AF4ACEAE1
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI PADAMENAK,20212676,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B48551B612DB90CAB78
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI SADAMANTRA,20212752,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8DCE9C5009974C7C6D7
Prov. Jawa Barat,Kab. Kuningan,Kec. Jalaksana,SD NEGERI SAYANA,20213063,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D301B563FB04490CF909
