provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 001 TERING,30402098,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/234328ED5B88289F9B5C
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 002 TERING ,30402109,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB03C1E455FE8C0498AC
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 003 TERING,30402118,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E6F79D8213991F7502B
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 004 TERING,30402126,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B739CC01DA3FCBC015C
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 005 TERING,30402143,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F008A916E7FB0BC2ABC
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 006 TERING,30402157,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E701422F54A091DD731
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 007 TERING,30402169,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B7A822949A7EC13D3DE
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 008 TERING,30406758,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E93ED1947B1920818BD4
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 009 TERING,30402183,SD,Negeri,23 Aug 2019 10:52:05,1,64,6,11,1,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1F4B395059D0FE0F134
Prov. Kalimantan Timur,Kab. Kutai Barat,Kec. Tering,SD NEGERI 010 TERING,30402191,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EA1F184DB014B7193B0
