provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 001 KONGBENG,30400798,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D81237EC91D51EA7960
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 002 KONGBENG,30400816,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D20A62B10405AFD8F1CB
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 003 KONGBENG,30400803,SD,Negeri,-,0,0,0,0,0,21,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABD2194574A2830921D5
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 004 KONGBENG,30400800,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E3F519E347676F3C7A7
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 005 KONGBENG,30400807,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E989D61D975D7D21755
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 006 KONGBENG,30400815,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FD7688B26A0D086E72A
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 007 KONGBENG,30400814,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E309361A7A799D48C65
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 008 KONGBENG,30400811,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F9F32F437332BD50314
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 009 KONGBENG,30400809,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B67224844A897DF62B55
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 010 KONGBENG,69753767,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83E47D8F066189DAE59E
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SD NEGERI 011 KONGBENG,30405664,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94A2A9F4A99FE7201235
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP NEGERI 1 KONGBENG,30400785,SMP,Negeri,-,0,0,0,0,0,23,2,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4E4F4E904A761AD4975
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP NEGERI 2 KONGBENG,30404421,SMP,Negeri,23 Aug 2019 09:22:10,5,224,8,13,7,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4430B43251B47E7462F2
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP NEGERI 3 KONGBENG,30400788,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1790940931E95E1DD531
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP NEGERI 4 KONGBENG,30407784,SMP,Negeri,-,0,0,0,0,0,12,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5011CD9B2FE5A4F7955
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP AL-QURAN DAN DAKWAH KONGBENG,69988361,SMP,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FF3A2B0A22DC96171F1
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMP EKA TJIPTA 2 KONGBENG,69943442,SMP,Swasta,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C87571FC86E1BFDD02E2
Prov. Kalimantan Timur,Kab. Kutai Timur,Kec. Kongbeng,SMAN 1 KONGBENG,30404436,SMA,Negeri,-,0,0,0,0,0,28,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC045525684520D557F1
