provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 KRAMAT,20505916,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A0C85A98BB98386D482
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 MADE,20505816,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD4F84A03E147CE7A711
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 PANGKATREJO,20506016,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/655309C410DC21089A40
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 RANCANGKENCONO,20505970,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6EA8ECB6F489C2335E5
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 SENDANGREJO,20506506,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8D33D80B7F33B0ABFDE
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 SIDOHARJO,20506544,SD,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCB25A0E02F413DC4198
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 SUKOMULYO,20506498,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/010B5C800ECD7A8E27B4
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 SUKOREJO,20506489,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6891486A9FAD81F9644C
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 1 TUMENGGUNGAN,20506558,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59DE6D9E8EA7E5E9C410
Prov. Jawa Timur,Kab. Lamongan,Kec. Lamongan,SD NEGERI 2 KRAMAT,20505917,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7334E5C4973FAEB10413
