provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 01 BUMI NABUNG,10803127,SD,Negeri,-,0,0,0,0,0,13,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A13A1833EA997D204209
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 01 CAHAYA NEGERI,10803108,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2D2CC47518A2033DD68
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 01 LEPANG BESAR,10803103,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7A68253499A99A8D559
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 01 OGAN LIMA,10803340,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D97AB6A2A05519BE3C4
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 02 LEPANG BESAR,10803247,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FD58A62D274C01EEF31
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 02 OGAN LIMA,10803217,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D99BD157265FF849CAB6
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 03 CAHAYA NEGERI,10803258,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1110A061DE4C3C8D3623
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 04 CAHAYA NEGERI,10802794,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8EE613BEB17EB1E7D68
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI 2 BUMI NABUNG,10803373,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDA99D393E4152F12220
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI GUNUNG BETUAH,10802717,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E5BA0761B74D782E41E
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI KAMPLAS,10802706,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E1A3A924461106F9739
Prov. Lampung,Kab. Lampung Utara,Kec. Abung Barat,SD NEGERI KISTANG,10810903,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0731578B746AB120B1C4
