provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 001 SINGKEP BARAT,11001409,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/328BA778E0701086A1B7
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 002 SINGKEP BARAT,11001413,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B29C834827A90CC35B7
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 003 SINGKEP BARAT,11001417,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D93A4EE5AF0E04308A98
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 004 SINGKEP BARAT,11001421,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0AA22EAC39A20570272
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 005 SINGKEP BARAT,11001425,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C213DE3619302E70ADF5
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 006 SINGKEP BARAT,11001432,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B41EDFDEBF25C5A79CF
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 007 SINGKEP BARAT,11001436,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5C1874732851106DE84
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 008 SINGKEP BARAT,11001440,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2C836CE0BAF11EE291F
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 009 SINGKEP BARAT,11001445,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24128758D85E779B813E
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 010 SINGKEP BARAT,11001458,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6E23931622DEA6286D0
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 011 SINGKEP BARAT,11001466,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AA96CC181AA62B84575
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 012 SINGKEP BARAT,11001474,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/670561B29C3C424BE86A
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 013 SINGKEP BARAT,11002594,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49907B5E2C3617A9A3C6
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SD NEGERI 014 SINGKEP BARAT,60730367,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70F2EF18F06B69BB3CD9
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SMP NEGERI 1 SINGKEP BARAT,11001522,SMP,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2677251D1488492C6CAB
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SMP NEGERI 2 SINGKEP BARAT,11002597,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9095FA61C8326E9902E
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SMP NEGERI 3 SINGKEP BARAT,11002598,SMP,Negeri,-,0,0,0,0,0,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46CA1242811D58C49063
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SMP NEGERI 4 SINGKEP BARAT,11002812,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A598DF71FD1054E9CD4
Prov. Kepulauan Riau,Kab. Lingga,Kec. Singkep Barat,SMAN 1 SINGKEP BARAT,11002071,SMA,Negeri,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44F44410A497727DF379
