provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI BANDARAN,20521317,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/694D8F754A9BD60F11F7
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI BENCE 02,20521384,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31DB19BB76FD3F332EA0
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI BENCE 03,20521383,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/669504D6B3E7A874E89E
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI CURAHPETUNG 01,20521357,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D91D6F326DE3553E007
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI CURAHPETUNG 02,20521356,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE67AB5AD97AAEE7C3D4
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI CURAHPETUNG 03,20521355,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DCD35E8A266441FB034
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI GROBOGAN 01,20521242,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04727C4F6548FD65A270
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI GROBOGAN 02,20521241,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F43E53291D3E14DFE565
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI GROBOGAN 03,20521240,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E80834240C2A59DAD51C
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI JATISARI 01,20521195,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/677DB0838F21076D59C7
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI JATISARI 02,20521196,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3507D4BD5154E693347
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI KEDUNGJAJANG 02,20520649,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCDFFE4CB30B272EAF46
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI KRASAK 01,20520726,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B3F9C7959D08813880D
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI KRASAK 02,20520736,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBA577029F93D7558E79
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI PANDANSARI 01,20520582,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8E2D646088F9DF5D2F5
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI SAWARAN KULON 01,20520897,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BD071AA69418D9111FE
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI SAWARAN KULON 02,20520907,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C372781A0B44835B267
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI SAWARAN KULON 03,20520906,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/494CE8EBF321C4F96E5E
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI TEMPURSARI 01,20520800,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F83659182B9D0ACB34F
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI TEMPURSARI 02,20520798,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EBF2D4BD133D147C46A
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI UMBUL 01,20520761,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90A14CBA1DF8F6509B39
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI UMBUL 02,20520762,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70BC69908AB63A0BD2E1
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI WONOREJO 01,20520835,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/714B59EFD729DD6F58EF
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SD NEGERI WONOREJO 02,20520834,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/560B403B3B5F34472B3F
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SDN KEDUNGJAJANG 01,20520650,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54375D2FFC1B0803A54F
Prov. Jawa Timur,Kab. Lumajang,Kec. Kedungjajang,SDN PANDANSARI 02 KEDUNGJAJANG,20520566,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAFE52049209CEE535DC
