provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N BRUMBUN,20508170,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34DFDCA47E8DC9126B79
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N KARANGREJO 02,20508070,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/400395310FE3238FFFD0
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N KRESEK 02,20507641,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B79FA6CFDA1590792B1
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N KRESEK 03,20507642,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB9B31D5F63D84783869
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N MOJOPURNO 01,20507628,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C25E62B6023C0070A31E
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N MOJORAYUNG 01,20507626,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DA9D2D2CA84441D540A
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N MOJORAYUNG 03,20507624,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34E62106CF509ACF25C6
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N MUNGGUT 01,20507677,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BF4DC5A9AFC89513C8B
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD N WUNGU 01,20507847,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47DF1BE6D81917A33E32
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI BANTENGAN 01,20507940,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BC80E7948B906A34F86
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI BANTENGAN 02,20507939,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F354352A4B5FC754BC65
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI KARANGREJO 03,20508059,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF037AA0CD875053C132
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI KRESEK 01,20507633,SD,Negeri,-,0,0,0,0,0,12,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/182B41EF48A40E96EE1D
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI MOJORAYUNG 02,20507625,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF9BF372AF20EF959575
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI NGLAMBANGAN 02,20507659,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FD79B7E783D7FB72F59
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI NGLANDUK 01,20507655,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBEEFF2DE9AB9F6BBC79
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI NGLANDUK 02,20507654,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E69619B928774491B59C
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI PILANGREJO 02,20507549,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B6687B7FC36A29C4934
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI SIDOREJO 01,20507590,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/241349DF929871A3B7AB
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI SOBRAH,20507585,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BBBD5529230FD5EFAE2
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI WUNGU 02,20507846,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70890DC13CDA79DC740E
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI WUNGU 03,20507845,SD,Negeri,23 Aug 2019 10:24:18,1,153,6,7,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D381AE492889EDC03BF
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SD NEGERI WUNGU 04,20507844,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46B7B6C6D7E456A7BD9F
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN KARANGREJO 01,20508071,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F89A8D9BDF120DAA34D1
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN MUNGGUT 03,20507675,SD,Negeri,23 Aug 2019 07:25:43,1,67,6,8,3,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F50C528F3E4DF547A6E
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN NGLAMBANGAN 01,20507660,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F11F3FD0A43592B4B30C
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN SIDOREJO 02,20507577,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F4D79037A62A1D3DCBD
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN TEMPURSARI 01,20507852,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE53E18D1FA32E5D3EA7
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SDN TEMPURSARI 02,20507860,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1AB8D9C95026407D643
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SMP N 02 WUNGU,20507752,SMP,Negeri,-,0,0,0,0,0,29,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C369323143F755D0F99B
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SMP NEGERI 1 WUNGU,20507756,SMP,Negeri,-,0,0,0,0,0,25,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E96F698C3CA66DF7A441
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SMPLB AN NASHR,20548829,SMPLB,Swasta,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F41809CDE667C0AD543D
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SMAN 1 WUNGU,20507729,SMA,Negeri,-,0,0,0,0,0,16,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDBF7896049B2C65C90F
Prov. Jawa Timur,Kab. Madiun,Kec. Wungu,SLB NEGERI KARANGREJO KABUPATEN MADIUN,20507900,SLB,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AF516FCE16D9481D000
