provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD INPRES NAMTABUNG,60102734,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61D2E9F367B2EE587F4D
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI 1 ADAUT,60103178,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A8DBC9CFA6A958688A6
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI 2 ADAUT,60102745,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/442FA126B49B4A877078
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI INPRES I ADAUT,60102731,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABDD84415BF507007426
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI INPRES KANDAR,60102732,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA1D8B43B3FD8A321BE8
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI INPRES LINGAT,60102733,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B9EB0FEF3DC16571198
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD NEGERI PNIEL ELIASA,60102736,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EDF9BBE126030130271
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD INPRES 2 ADAUT,60102730,SD,Swasta,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6A178177378F66ACE77
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD KRISTEN FURSUY,60102737,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D55BA6E29C51FDF7325
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD KRISTEN KANDAR,60103036,SD,Swasta,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D7D7E1F5C897049C284
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD KRISTEN LINGAT,60103380,SD,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EACFB91EC301F3052742
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD KRISTEN NAMTABUNG,60102735,SD,Swasta,-,0,0,0,0,0,8,2,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1A6531F4A04386FD897
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SD KRISTEN WERAIN,60102741,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8F3CC531D63B54D6437
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP NEGERI 2 SELARU,60101367,SMP,Negeri,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3B77A37F0E85C575F35
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP NEGERI 3 SELARU,60101318,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96EE2CE90CC6B709D907
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP NEGERI 4 SELARU,60101168,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC9CE668F3D6BDD584E0
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP NEGERI FURSUY,60102749,SMP,Negeri,-,0,0,0,0,0,8,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2E9B2F6D48FCCC9DCF7
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP NEGERI SATU ATAP ELIASA,69952535,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE814530A43C2213E0B4
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMPN 1 SELARU,60102752,SMP,Negeri,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C52C09647A62D54A4AFD
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMP KRISTEN WERAIN,60101302,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5EA7B596548A62077562
Prov. Maluku,Kab. Maluku Tenggara Barat,Kec. Selaru,SMAN SELARU,60102374,SMA,Negeri,-,0,0,0,0,0,11,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/222FDFF1CE1234AED375
