provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD INPRES KOTOK,50304883,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07E23C8B484E24E2527F
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD INPRES NDAUNG,50304837,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBC587198532E26BAFC2
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD INPRES NGGORONG KOTAK,50304897,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D6B15F3AFC9F271407D
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD INPRES REDEK HAWE,50304824,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BAC58C45A75E79F2F22
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD NEGERI GOLO BINSAR,50308436,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4044BC565781DF1FE503
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD NEGERI GOLO GONGGO,50308175,SD,Negeri,-,0,0,0,1,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DFC5672C8F119E8F923
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD NEGERI GOLO LEWE,50310791,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DB435E61A6B1415D67B
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD NEGERI WOL,50308435,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5571EF640375D02FEE0D
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK KONDOK,50304928,SD,Swasta,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1184145E73E02B9AD57
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK RANGGU 2,50304720,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40CC4F97D05101918C43
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK RAWUK,50304719,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4852A406BBDA99B7E80B
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK TUENG,50304793,SD,Swasta,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EE60F6AEA39E798F3FF
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK WAJUR,50304787,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/176CD2568E144CAF4492
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SD KHATOLIK WETIK,50304811,SD,Swasta,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B5883D0F1B0645849DF
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SMP NEGERI 1 KUWUS BARAT,69775280,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/102CDD384607D1AA49F1
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SMP NEGERI 2 KUWUS BARAT,50308190,SMP,Negeri,-,0,0,0,0,0,18,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA22D3F286B64B27E7E3
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SMP NEGERI 3 KUWUS BARAT,69929324,SMP,Negeri,-,0,0,0,3,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D53788751A0226BD8471
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SMP NEGERI 4 KUWUS BARAT,69983710,SMP,Negeri,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FDEDC23C0603DC17E88
Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,Kec. Kuwus Barat,SMPK SADAR RANGGU,50304764,SMP,Swasta,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DACBC87B04E524ACAC2
