provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 01 SAYAN,30104940,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EAA9F20BC07A7ABCC0F
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 03 KERANGAN PURUN,30105033,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37F9FE23622A86529D3D
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 06 NANGA SASAK,30104974,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5FB08139EDDF3BC9841
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 07 NANGA PAK,30105002,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2290D99674C7DDF91015
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 10 TONTING,30104922,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7605DA7CD86A5D7802C8
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 11 SENGKUANG BORA,30104919,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C1B7CFAE0809815F0D7
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 12 KEPALA GADING,30104918,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD25A0937DF080A71096
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 13 JONGKONG,30104914,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2048D3B82C4E7C109FBF
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 14 KAYU BAONG,30104912,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6BF0308C138002CA9BB
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 15 RUNTING,30104938,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5210B9B9A79A64E0EB0
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 16 LANDAU SILING,30104936,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A732820A95E79C26354
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 17 MEKAR PELITA,30104933,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67D56AF39E5DD0F0FB6B
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 18 SENAIN,30104928,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DB35B2134343B61EAC9
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 19 NANGA RAKU,30108129,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DF147EDE81C6215160B
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 2 NANGA MANCUR,30104910,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/288CC391424A1E111F74
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 20 SANGGAU MANDIRI,30108171,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9937A3AD07BFCF342051
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 21 MENTAWAK,69787961,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBBDE84D26AA15DECA1C
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 4 LANDAU SADAK,30105003,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C98F96E037A0D746845
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 5 NUSA ONAP,30104976,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36E68A358044CBEFE82B
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 8 KELOPUK,30104998,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4755417AE880EA9E5AD
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SD NEGERI 9 NANGA SAYAN,40104993,SD,Negeri,-,0,0,0,0,0,11,0,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BA0EC4F4BAF6A677111
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SMP NEGERI 1 SAYAN,30104852,SMP,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F660A48E4EF431627684
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SMP NEGERI 10 SATAP SAYAN,30110081,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD203122AA3A51ADF7C5
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SMP NEGERI 11 SATAP SAYAN,69775741,SMP,Negeri,-,0,0,0,0,0,1,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30F2663F59FBC9B364ED
Prov. Kalimantan Barat,Kab. Melawi,Kec. Sayan,SMP NEGERI 2 SAYAN,30104862,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF19B07687AA8AAB75AF
