provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 01 TOHO,30101597,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5269390F8F2D8A79D62E
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 02 TOHO,30101609,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CD2A7E5B88257F43C1A
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 03 TOHO,30101647,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E9FB02EEBB2468F26BB
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 04 TOHO,30101618,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B014DF1A8550B959D1F
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 05 TOHO,30101631,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8078FA8A5C3F3DD58657
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 06 TOHO,30101485,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F122AFDBD5CAE423498D
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 07 TOHO,30101450,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B72977F8CBA48CE2611
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 08 TOHO,30101538,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11DF6B683390BB65057C
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 09 TOHO,30101525,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6BA4DEDC6575CE65FFC
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 10 TOHO,30101521,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9169BAC74671FE0484C8
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 11 TOHO,30101500,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AF21A648A9E2392DDA3
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 12 TOHO,30100820,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0348D7AA32683459DF38
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 13 TOHO,30100810,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB14C07C23889BFE41C1
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 14 TOHO,30100714,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BAA8D72DC4AA150BC10
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 15 TOHO,30100726,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2EB8FCDC5785D08372E
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 16 TOHO,30100679,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/716F2A4B8838AA128EF7
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 17 TOHO,30100697,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9552253D9C26169013F7
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SDN 18 TOHO,69763296,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E1FD1B709EF77144CAF
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 1 TOHO,30100906,SMP,Negeri,-,0,0,0,0,0,14,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13CEA007744B6808F7D0
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 2 TOHO,30100918,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AB1860008E5B8A790FD
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 3 TOHO,30100985,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D4D87C8F10A297D33EB
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 4 TOHO,30108552,SMP,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42A91E5C812161A516AD
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 5 TOHO,30110055,SMP,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F21A761AD7F15ABD502
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMP NEGERI 6 TOHO,30110056,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9248D4CB39F9173777F3
Prov. Kalimantan Barat,Kab. Mempawah,Kec. Toho,SMAN 1 TOHO,30101088,SMA,Negeri,23 Aug 2019 15:28:32,6,402,15,31,2,16,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10978352E0DE32EEDAB7
