provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 108/VI LUBUK BERINGIN,10501180,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15D618F3E1EC3DFC0849
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 135/VI PULAU RAMAN,10501057,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1878ADE1F9439BAB513E
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 138/VI TL SIKUMBANG I,10501062,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4554ED0A0D0B84C3BED
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 140/VI RANTAU PANJANG,10501064,SD,Negeri,26 Aug 2019 22:22:38,2,130,6,9,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F6D7C38A1BE523F5900
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 159VI RANTAU BIDARO,10501130,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F31281CAC1BE5AD4B9BA
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 16/VI MUARA SIAU I,10501640,SD,Negeri,25 Aug 2019 23:29:19,1,62,6,8,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EBED975F8388F1DBF9D
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 161/VI MUARA SIAU III,10501132,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29A771828C23AAE6BEBB
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 179/VI DURIAN RAMBUN,10501133,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D56EB105A29FDE3388A
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 182/VI SEPANTAI RENAH,10501391,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10DB2D663515AD134391
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 231/VI MUARA SIAU IV,10501434,SD,Negeri,-,0,0,0,0,0,16,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAC5A7FB561179EEEB02
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 232/VI RANTAU MACANG,10501435,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DEEF2E40ED9C427E1D6
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 245/VI TIARO II,10501414,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/117BA053D1DA38D1FBA8
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 246/VI TELUK SIKUMBANG II,10501415,SD,Negeri,22 Aug 2019 18:45:41,3,45,6,8,2,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFC2F6CAC6571E7FAFFC
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 54/VI LUBUK BIRAH,10501160,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E14FE45AF66C8E91C928
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 56/VI PERADUN TEMERAS,10501162,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/220C0A1956CA61D7313E
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 61/VI TIARO I,10501151,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88EF5E385837E166EDA8
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SD NEGERI 86/VI MUARA SIAU II,10501192,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/773BDAA9290925030DC0
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SMP NEGERI 09 MERANGIN,10501356,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11D2535BE07ED80B64EF
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SMP NEGERI SATU ATAP 06 MERANGIN,10505009,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3A84434ED447039621F
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SMP SATU ATAP 9 MERANGIN,10505696,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C707C81C6BC8A9FDEC1
Prov. Jambi,Kab. Merangin,Kec. Muara Siau,SMAN 10 MERANGIN,10505054,SMA,Negeri,26 Aug 2019 13:42:22,3,147,7,18,4,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/590E469FDDCBC9FFC44E
