provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 029VI RANTAU LIMAU MANIS I,10501619,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83DAC410F84AB1595CCC
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 198VI ULAK MAKAM,10501405,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B893F268BB1761F01A88
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 223/IV RANTAU LIMAU MANIS II,10505387,SD,Negeri,26 Aug 2019 11:28:05,3,175,6,6,2,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C6E74A02AA93394F5C7
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 257 / VI AIR BATU I,10501303,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D86D82D75EDFC929BAE5
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 258VI REJO SARI,10501321,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA8B3987B33055F169E1
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 261/VI KOTA RAJA,10501324,SD,Negeri,26 Aug 2019 11:47:02,7,150,6,8,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81791FB37A34F4B7688A
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 276/VI AIR BATU II,10501304,SD,Negeri,25 Aug 2019 00:38:25,6,69,6,8,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AFD18A95396187CB552
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 309/VI MEKAR LIMAU MANIS,69894938,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/992727E172D634589DFC
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI 310/VI TUNGGUL BULIN,69900049,SD,Negeri,23 Aug 2019 10:33:13,2,107,5,7,1,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06B4CB0098D83B261302
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SD NEGERI No. 313/VI Rantau Palimbang,69967389,SD,Negeri,25 Aug 2019 23:51:43,4,40,6,3,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8B1E3BF923651991316
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SMP NEGERI 18 MERANGIN,10501353,SMP,Negeri,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51B375672449BF10AB77
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SMP NEGERI 24 MERANGIN,10501352,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67676EB5EEC2CD06E6F8
Prov. Jambi,Kab. Merangin,Kec. Tabir Ilir,SMK NEGERI 12 MERANGIN,69950377,SMK,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36D398B336D3E17FAC0D
