provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES BUPUL 11,60300703,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD3AC1894EF5DF2A0E7B
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES BUPUL 12,60300704,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/453DD637ED35E8047ECF
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES BUPUL 13,60300717,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C262C8102DB11C7E5992
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES BUPUL 6,60300712,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC405A79D2AFA70DDE55
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES MUTING 1,60300761,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24FC36DBE0EBF91AA29A
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES MUTING 2,60300758,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AA8BF81FF0B7E9A5128
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES MUTING 3,60300757,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5CB99E84E8B6E885C56
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES MUTING 4,60300756,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6511E32FC38C420ED81A
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES MUTING 5,60300755,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9785FC2BB825554A5472
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD INPRES SELIL,60300781,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B5D14359C1DE23E8CA0
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD NEGERI KUKUMID,69989794,SD,Negeri,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4F448AEE884868C6F77
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD NEGERI LOO BIA 1,69972313,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A188F661BC1C1AA00016
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD YPK Harapan Selil,69959188,SD,Swasta,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B12CEFC1DC72501B4E5
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SD YPPK MANDUM,60303074,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1A4D65127458023A351
Prov. Papua,Kab. Merauke,Kec. Distrik Ulilin,SMP NEGERI 2 MUTING,60300607,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FC8599A628517E780A7
