provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 1 MAGINTI,40400867,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1C662ECA46843EA1529
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 2 MAGINTI,40400897,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA3530467DFAAF7219CA
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 3 MAGINTI,40400644,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9ED7D7A5F38C6D7AA5D1
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 4 MAGINTI,40400562,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D02C3A124DBE99E3CFD
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 5 MAGINTI,40400547,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/066FBCE4E8B95336F218
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 6 MAGINTI,40400584,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34C575831F227C5E2AA1
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 7 MAGINTI,40400817,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9162D37D039DA9E7FDD9
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 8 MAGINTI,40402884,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/751E74A2313687F5528B
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SDN 9 MAGINTI,40402889,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08188F1842F8C9AF0639
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SMPN 1 MAGINTI,40400708,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3EF001935DD7C87D580
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SMPN SATAP 1 MAGINTI,40404599,SMP,Negeri,-,0,0,0,0,0,4,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54CBE8238B199684A12D
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SMPN SATAP 2 MAGINTI,69787698,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8874C8009924E32364E
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SMPN SATAP 3 MAGINTI,69787699,SMP,Negeri,-,0,0,0,0,0,3,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44ECE4179522EF085145
Prov. Sulawesi Tenggara,Kab. Muna Barat,Kec. Maginti,SMAN 1 MAGINTI,40400771,SMA,Negeri,-,0,0,0,0,0,15,6,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D4A0472FA1976C59EFB
