provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 1 MALIGANO,40400868,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0C4A48EDE2306C4D575
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 2 MALIGANO,40400632,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A26F1ACE88C55B7F04DF
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 3 MALIGANO,40400546,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAB39FE7597B01AD8053
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 4 MALIGANO,40400585,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/758AF34A709A0F7DA078
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 5 MALIGANO,40400741,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2174F4FCB11F083776C1
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SD NEGERI 6 MALIGANO,69977445,SD,Negeri,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70B44CEB5B18DBAF0593
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SMP NEGERI 1 MALIGANO,40404074,SMP,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B3D8507426B4089FE38
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SMP NEGERI 2 MALIGANO,69988885,SMP,Negeri,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6683110497E23AEE9219
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SMP NEGERI SATAP 1 MALIGANO,40405126,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8B60F8869368E46ED1F
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SMA NEGERI 1 MALIGANO,40400759,SMA,Negeri,24 Aug 2019 09:30:45,3,208,12,23,3,12,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/836ED5A495B73A117542
Prov. Sulawesi Tenggara,Kab. Muna,Kec. Maligano,SMK SWASTA TEKNOLOGI MALIGANO,69952366,SMK,Swasta,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E429AB8143B1B22F4B52
