provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI 1 PURUK KAMBANG,30203373,SD,Negeri,-,0,0,0,0,0,17,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0ACFEEC7E7735B2E3408
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI BARAS KUNING 1,69754309,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8817E8E334A31A28CC2
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI DATAH KOTOU 1,30203294,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD5BBB382226C478F96B
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI DIRUNG LINGKIN 1,30203278,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A84E9528B8CFA340BF41
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI ORENG 1,30203206,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A16C19FE913BF3C847F
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI TAHUJAN ONTU 1,30203183,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18E1BAFD58E83D099E64
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI TUMBANG HANANGAN 1,30203264,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EA0851080C948D11B23
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SD NEGERI TUMBANG MURO 1,30203266,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CF320A1A49F51665186
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SMP NEGERI-1 SATU ATAP TANAH SIANG SELATAN,69965279,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/071501F8004BDA5E15B5
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SMPN 1 TANAH SIANG SELATAN,30203950,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7420DD19AE2CDC6F84D2
Prov. Kalimantan Tengah,Kab. Murung Raya,Kec. Tanah Siang Selatan,SMA NEGERI 1 TANAH SIANG SELATAN,30207361,SMA,Negeri,-,0,0,0,0,0,10,7,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E24B16532D2505968F22
