provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI 1 EMBACANG BARU,10602118,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D2967909BE064DFE2D6
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI 1 TERUSAN,10602274,SD,Negeri,-,0,0,0,0,0,15,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC272C0BCFFF19369CB5
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI 2 KARANG JAYA,10602296,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6DCC49927870D45497D
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI 2 SUKAMENANG,69985323,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5A3464DFF24886BBF65
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD Negeri 2 Tanjung Agung,69987453,SD,Negeri,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EE85F50B4AADD9E697B
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI 2 TERUSAN,10645960,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79E3598411BECDFCA5EE
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI BUKIT LANGKAP,10601842,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3940EDFB66450BE2F1D0
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI EMBACANG LAMA,10644821,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C46F0CD71425627CF72
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI LUBUK KUMBUNG,10644817,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A55F46A7E7CD5CD5A731
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI MUARA BATANG EMPU,10644819,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFC867354A363C4A3C78
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI MUARA TIKU,10601857,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF015CA91E77751B2A6D
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI RANTAU JAYA,10602029,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18094E9ED6E6107C71D6
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI RANTAU TELANG,10602031,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20E79B627CBA9ABB70A4
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI SUKAMENANG,10602018,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26CD6321131095338D15
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI SUKARAJA,10645767,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5B933ED76710881DF5D
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI SUNGAI JAMBU,10644822,SD,Negeri,23 Aug 2019 05:54:53,3,42,6,9,1,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/767FFB755DB782B0EC5D
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SD NEGERI TANJUNG AGUNG,10644820,SD,Negeri,-,0,0,0,0,0,22,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0BCBFBD0EBCB6234212
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SDN 1 KARANG JAYA,10602124,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9197AAED5E11B44B1C7B
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SDN 2 EMBACANG BARU,10602293,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C65F1EF2BC80FF5E814
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SDN BUKIT ULU,10601844,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E5065A29F0C8B8EA93D
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SMP NEGERI KARANG JAYA,10610338,SMP,Negeri,-,0,0,0,0,0,26,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65ECB6E2919E4B87CB66
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SMP NEGERI MUARA BATANG EMPUH,10601339,SMP,Negeri,-,0,0,0,0,0,16,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AC496D093EB7F0A1B34
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SMP Negeri Terusan,69988280,SMP,Negeri,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90F00A5DC82E111CB9F1
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,Kec. Karang Jaya,SMP MUHAMMADIYAH TANJUNG AGUNG,10644905,SMP,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8756C940C0FDD5398A5B
