provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 1 AIR DERAS,10602077,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/924E6A37C5CE363E9C74
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 1 SRIMULYO,10602275,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/711AF77C65CFEAF49B95
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 1 SUKAMANA,10602263,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D686434E4182B465A501
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 1 TERAWAS,10602273,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9199417062BAAA426B5F
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 2 AIR DERAS,10602314,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CD2AEA0D1C1E2AB00DD
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 2 SRIMULYO,10602203,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B9C0A60AC1E9D9E1653E
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 2 SUKAMANA,10602247,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F2450AB080C18D479BD
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 2 TERAWAS,10602258,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEDDD650BD575D2E5218
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN 3 TERAWAS,10601900,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/835084FA6AA2A3BFCC98
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN BABAT,10601923,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C9D0F576917CA29218E
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN BUKIT AMAN,10646401,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1252BA162AF7042E2165
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN PADU RAKSA BARU,10601861,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8633443F5AF597253C40
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN PADURAKSA LAMA,10601862,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD33C67E1476BC8665BC
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN PANGKALAN,10601864,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B0947EBDF8FB72795EE
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN PASENAN,10602007,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAF698E4242FF57F50B1
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SRI KEMUNING,10602011,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2785E9247ED7CA5C658B
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SRI PENGANTIN,69727859,SD,Negeri,21 Aug 2019 15:55:11,1,37,6,5,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D9DD1E08AE87CA98EF9
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKACINTA,10602020,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71648BC37349B39B4DAA
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKADANA,10602021,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CB4DFF1501106E0C354
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKAKARYA,10602037,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8FCE532909EA676E4DA3
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKAMERINDU,10602054,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90D87FB5237EFB3FC37F
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKARAYA,10602055,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09366696C64F2F1237C1
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN SUKOREJO,10610072,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7451DF5BAA8C134B172F
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN TABA TINGGI,10602053,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FE6BC6E314AA6DAF107
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SDN TALANG JAYA BABAT,10602039,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C020399CC82367D3FFC5
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SMPN PASENAN,10646518,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB8EA30495D976D0A40D
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SMPN SIMPANG KOSGORO,10643882,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CBB2076280FAED231FB
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SMPN SRIMULYO,10643885,SMP,Negeri,22 Aug 2019 21:00:43,1,125,5,20,6,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AE558CC7C8EB50F2F22
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Stl Ulu Terawas,SMPN SUKA RAYA,10643887,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDFF70570F97D2D9F255
