provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN 1 MUARA KATI BARU 1,10645140,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/861564EB3195CD230FBE
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN 1 RANTAU BINGIN,10602283,SD,Negeri,-,0,0,0,0,0,11,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0BF8E78596C5B6433AC
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN 2 MUARA KATI BARU 1,10602210,SD,Negeri,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D3D345F2918DCE45B32
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN 2 RANTAU BINGIN,10602195,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19B8BC7BF117A6C57739
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN BATU BANDUNG,10601928,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33BCA6CD275E5AA2A526
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN KEBUR,10602127,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7B4DC8B8D1EF24E5742
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN KM 7 LUBUK BESAR,10601853,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8B1358C5CF2566029CE
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN LUBUK BESAR,10602113,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04126475C7B9630B4C7C
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN MUARA KATI BARU II,10644717,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6C14BED1238E0A66124
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN MUARA KATI LAMA,10601855,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8F04A53591DD8B8A975
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN RANTAU SERIK,10602030,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E9C7FB14310B2985D93
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SDN SIMPANG GEGAS TEMUAN,69955366,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/207BF89847CE3C9A3AE4
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SMPN KEBUR,10648277,SMP,Negeri,23 Aug 2019 22:32:01,2,83,4,9,3,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA4CDD7CEAAD7166DFB5
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SMPN MUARA KATI,10610322,SMP,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97D3E1A7B609D70A0AE0
Prov. Sumatera Selatan,Kab. Musi Rawas,Kec. Tiang Pumpung Kepungut,SMAN TIANG PUMPUNG KEPUNGUT,10646501,SMA,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C89F97522DD7251FE879
