provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES KELITEI,50303087,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C7B9DDE31EDE4697CB1
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES NGADHUSAWU,50303056,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8030F7887E1B92D42285
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES NGALUBERE,50303057,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C535BF302E7C980D478E
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES PAUPAGA,50303044,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D255C26814040710610A
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES POMASULE,50303046,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30A816E7B5C2373D1D9A
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD INPRES SEWOWOTO,50306196,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F2F4BAEA20FB91F0222
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SD NEGERI GELAROJA,69771413,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABEB641479125B299DB5
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SDK MALAPEDHO,50302850,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEB09DDA94B72E22E102
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SDK NUNUPADA,50303174,SD,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4986E31E2A4BD9D3930C
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SDK PALI,50302911,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E70BBD36C4CCB2107EAE
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SDK RUTO,50302887,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA3EED176572DC99BF38
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SDK St. FAMILIA,69894238,SD,Swasta,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFEA16CCB9C52AAE2D91
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SMP NEGERI   INERIE,50303009,SMP,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8EE9E2550ABA3C9AEC2
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SMP NEGERI 2 AIMERE,50306180,SMP,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03470907A4E9A60585DD
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SMP NEGERI SATU ATAP 2 JEREBUU,50308450,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D49C60DA7237E2B1AD7D
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SMAN 1 INERIE,69947000,SMA,Negeri,-,0,0,0,0,0,5,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD0CCB2E73B9E2A8BBB2
Prov. Nusa Tenggara Timur,Kab. Ngada,Kec. Inerie,SMK Pelayaran Global Maritim Flores,69980182,SMK,Swasta,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80DBECAB541FD445A017
