provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 BARENG,20537725,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08832D29BB3F0AEDC6D7
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 DUREN,20537786,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8ADB13ACB010515E8657
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 MARGOPATUT,20538038,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE9BD88D4AB362D000D7
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 NGLIMAN,20538093,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69B62E437B2669E1731B
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 SAWAHAN,20538180,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5EEAF675DC3B9138A97
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 SIDOREJO,20538198,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7B976F31D69AB51C76A
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 1 SIWALAN,20538202,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05711C956649A4673FB3
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 DUREN,20537787,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7BA535BCDD20BAFD37A
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 KEBONAGUNG,20537961,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FC72045FD292FE91B85
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 MARGOPATUT,20538039,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B6CEDD9CDCAEDBA9C8E
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 NGLIMAN,20538094,SD,Negeri,22 Aug 2019 19:23:28,1,141,6,8,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/197F52A32859FE3924F2
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 SAWAHAN,20538181,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7054EB4A959CA48A1AF8
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 SIDOREJO,20538199,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAA7570071C8F96FA94B
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 2 SIWALAN,20538203,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A92D365ACF0520CE00B
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 3 BARENG,20537726,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC657423E114B7D9E434
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 3 DUREN,20537788,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54E2ADAB55D1DA59A4EE
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 3 KEBONAGUNG,20537962,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C18603423CEFFBD2890E
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 3 MARGOPATUT,20538040,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/949361EDEC3F6220EB80
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 3 SAWAHAN,20538182,SD,Negeri,23 Aug 2019 17:18:59,2,94,6,6,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88B52FE0897EB4B575DA
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 4 BARENG,20537727,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD90CA4E95699D2E8B4C
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 4 DUREN,20537790,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBE190FA3930EC774CF7
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 4 KEBONAGUNG,20537963,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C7B857188C909A7B1BF
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 4 MARGOPATUT,20538041,SD,Negeri,22 Aug 2019 15:03:36,11,53,6,7,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/210F89F3E44FB5236980
Prov. Jawa Timur,Kab. Nganjuk,Kec. Sawahan,SD NEGERI 4 SAWAHAN,20538183,SD,Negeri,23 Aug 2019 09:25:21,12,79,6,8,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/636AAD36FB455D3CB9C9
