provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI BABADAN 1,20508665,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97500ED6B82CE524F9B0
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI BABADAN 2,20539262,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D74A682E37158FD6835
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI CEPOKO 1,20508729,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E779E16FD4A1FD9DD74B
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI CEPOKO 3,20508739,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/525571C70AB84D410EF2
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI CEPOKO 4,20508738,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82081CD951E8351E4423
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI GIRIHARJO 1,20509103,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3252666904BC8FEB1EE
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI GIRIHARJO 2,20509102,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34AA1E01348D00796F5A
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI HARGOMULYO 1,20509119,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/143C734427BB46AA1B90
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI HARGOMULYO 2,20509120,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/370D9389F0D465FBF46C
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI HARGOMULYO 4,20509114,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97BFA497F3ADF7828A41
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI KRANDEGAN 1,20508373,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F3A15449DB2CD717120
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI KRANDEGAN 2,20508372,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3ED48399826E87A53909
Prov. Jawa Timur,Kab. Ngawi,Kec. Ngrambe,SD NEGERI MANISHARJO 1,20508328,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1897C56FCE015AD60DD4
