provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD N 071212 SIFAOROASI GOMO,10220091,SD,Negeri,-,0,0,0,0,0,32,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AEED9F1BCF5D71E945F
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD N 071213 HILIANAA GOMO,10220092,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB6A4AD26AD053019E38
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD N 076708 TANONIKOO,10220106,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B3373702994AE46223B
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 071220 UMBU IDANOTAE,10220095,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27DA93FC2DC1971CDEBA
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 071223 ORAHILI GOMO,10220089,SD,Negeri,-,0,0,0,0,0,14,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/530617E613BB7F9FFC75
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 077787 LAWA-LAWA LUO GOMO,10220110,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F5EBDA6625696640635
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 078140 ORAHILI SIBOHOU,10220113,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A13AD00E55131C87D45
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 078462 HILIAMATOLA,10220130,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A2ED4C7D989B48185E7
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD NEGERI 078465 GUNUNG GABUNGAN,10220133,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4201D0A10CDEE429B085
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SD No. 078580 Tetehili,69899562,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D706ACCF6FD89EB23133
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SMP NEGERI 1 GOMO,10258185,SMP,Negeri,-,0,0,0,0,0,23,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF7FF5374FB0EC5CF2C4
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SMP NEGERI 2 GOMO,69880785,SMP,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCBE87247BFC36461758
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SMA NEGERI 1 GOMO,10258263,SMA,Negeri,-,0,0,0,0,0,27,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2EB79CCE667D988C574C
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SMA NEGERI 2 GOMO,69899238,SMA,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CADCA04D4F2C848CDF83
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Gomo,SMK NEGERI 1 GOMO,10258243,SMK,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7058DDEFAB8784586FC1
