provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 071026 LASARA SAWO,10207902,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFD72A103CE3B7558063
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 071027 ONOZITOLI SAWO,10207901,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC09F5FA80DC0CB65090
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 071033 HILIDURUWA,10258745,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74537BBC2D57E1B592B1
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 071038 OMBOLATA SAWO I,10258751,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A6949C25820A64750B6
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 071040 SIFAHANDRO,10258752,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5F3DC389332C3F464C7
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 074050 SAWO,10258755,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EE59B1C1BC663874DBF
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 075033 SISARAHILI BAA,10258761,SD,Negeri,22 Aug 2019 22:42:38,6,76,6,7,2,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D31C4F35472BB84416C1
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 076066 OMBOLATA SAWO II,10258762,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6EF80D7182BA7BAB031
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 076067 ORAHILI,10258763,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C12F9EDCF8CC07332C2F
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 078132 SARANG BAUNG,10258778,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08FD3B04404A12A7B8CF
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SD NEGERI 280211 TURELAOYA,10261879,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F3BCC41E3DB6A4E03B83
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SMP NEGERI 1 SAWO,10259343,SMP,Negeri,23 Aug 2019 18:46:57,1,214,8,23,4,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F942D05CAA7B46487B18
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SMP NEGERI 2 SAWO,10258367,SMP,Negeri,-,0,0,0,3,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/78191F842DC3EEDAACF0
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SMP Swasta BNKP Maranata,10212752,SMP,Swasta,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E45B3F1EA81D2D6D6D1
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SMA NEGERI 1 SAWO,69896679,SMA,Negeri,-,0,0,0,2,0,5,5,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F404E573E4B4D49E2198
Prov. Sumatera Utara,Kab. Nias Utara,Kec. Sawo,SMKN 1 SAWO,10260665,SMK,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CEB4320104B30CF15433
