provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 01 MUARA KUANG,10605825,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B62B8146B38522260C65
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 02 MUARA KUANG,10605664,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7D8D9F6F224958FAA68
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 03 MUARA KUANG,10605853,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB62E7E508FA93F13763
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 04 MUARA KUANG,10605682,SD,Negeri,-,0,0,0,0,0,19,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC0AFFBC5D96CACB2AB2
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 05 MUARA KUANG,10605852,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00FB73030E99FD59F0B0
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 06 MUARA KUANG,10605827,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF1CFA53677D2D94ADAA
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 07 MUARA KUANG,10605826,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/165188936DD31606B323
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 08 MUARA KUANG,10605810,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83CF3F0F0B1CB2953928
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 09 MUARA KUANG,10605844,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39AD118B1C75C6120CA0
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 11 MUARA KUANG,10605807,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE00EF402B0E098D0C9B
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 12 MUARA KUANG,10605723,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F21BFDF1762AB6A2391F
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 13 MUARA KUANG,10605813,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A9026A0FFB8943418BF
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SD NEGERI 15 MUARA KUANG,69854722,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93A84D3D5C27DF23EC55
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMP NEGERI 1 MUARAKUANG,10603047,SMP,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0922CFC0445C62933EA5
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMP NEGERI 2 MUARA KUANG,10603043,SMP,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CFF9E5568879082DFEF5
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMP NEGERI 3 MUARA KUANG,10643797,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F51A9BA0452483525C37
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMP NEGERI 4 MUARA KUANG,10643799,SMP,Negeri,21 Aug 2019 06:57:51,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1CD37E52973D3E6B63B
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMA NEGERI 1 MUARA KUANG,10643840,SMA,Negeri,-,0,0,0,0,0,8,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/451B5B096B80A4CB9E26
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMA NEGERI 2 MUARA KUANG,10646139,SMA,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A16FB7AF28D744C13CA6
Prov. Sumatera Selatan,Kab. Ogan Ilir,Kec. Muara Kuang,SMK NEGERI 1 MUARA KUANG,69762776,SMK,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CD6539EB27984F882D0
