provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 46 OKU,10604815,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/057D1F65D657CE60CDC1
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 47 OKU,10604816,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E3FC05D722FCB08ED0E
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 48 OKU,10604817,SD,Negeri,-,0,0,0,0,0,3,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8FD3400DF4BF349C1E2
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 49 OKU,10604818,SD,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04E9CD183F3892218605
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 50 OKU,10604819,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4303497B1EBB2A26B5E5
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 52 OKU,10604821,SD,Negeri,-,0,0,0,0,0,17,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6AE64C1212870E8F8374
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 53 OKU,10604822,SD,Negeri,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C84781165E94C1436E41
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 54 OKU,10604823,SD,Negeri,-,0,0,0,0,0,5,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/749529A2C5BADA206A0A
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 55 OKU,10604824,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BD61D758317549A14A6
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 56 OKU,10604825,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48989E79E546E152272D
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 57 OKU,10604826,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C766595467FB3D25D11B
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 58 OKU,10604827,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/830DA773A11D94A0E150
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 59 OKU,10604828,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC7809A926E9E7EA4391
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 61 OKU,10604830,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D34EACDD73F96EBCC545
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 62 OKU,10604831,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1BC17C54DE09D957FF5
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 63 OKU,10604832,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6238693919D0719D96E0
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD N 64 OKU,10604833,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E9B236250717D25B5C5
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD NEGERI 51 OKU,10604820,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B02164075D6F62D92F3B
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD Negeri 60 OKU,10604829,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EA5D23E4DF40DA8CFF1
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SDN 45 OKU,10604814,SD,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/237973E6E6F74D9730E3
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD FRANSISKUS BATURAJA,10604767,SD,Swasta,-,0,0,0,3,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13B294D988135F48A114
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SD XAVERIUS 2 BATU PUTIH,10604962,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB234BEA76C435AFEB7D
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SMP N 21 OKU,10604682,SMP,Negeri,23 Aug 2019 16:37:47,13,343,12,27,9,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/989E4AF88F5A48C08B4A
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SMP N 7 OKU,10604700,SMP,Negeri,-,0,0,0,0,0,22,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E0AEE9ABEFF965CF053
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SMP Negeri 41 OKU,10646099,SMP,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAA58DEFEFA4B9CEA849
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SMAN 3 OGAN KOMERING ULU,10604725,SMA,Negeri,-,0,0,0,0,0,23,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F10FA3799F7CC834A6B
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Barat,SMAS XAVERIUS BATURAJA,10604736,SMA,Swasta,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1404796DA444C7183535
