provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 1 OKU,10604769,SD,Negeri,-,0,0,0,0,0,24,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EC9AC211914D4F213D2
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 10 OKU,10604869,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/767CF5F15FC191875F68
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 11 OKU,10604779,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/648B18779B92B1958674
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 12 OKU,10604780,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6229ACC1E823B7D3186B
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 13 OKU,10604781,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D01B588EA6A5AE66C5C
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 14 OKU,10604782,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73D18251ED4121489854
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 15 OKU,10604783,SD,Negeri,-,0,0,0,0,0,18,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF862F840B5722EC4F74
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 17 OKU,10604785,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/399865BCED6C9DB6DADF
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 185 OKU,10645838,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0073E90ED4D33C77882
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 19 OKU,10604787,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A615FE653267DD5459C
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 21 OKU,10604790,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BEFFEC15A4BD4F45CA62
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SD N 22 OKU,10604791,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9EC92D73D1857EC1671
