provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 BODAG,20511267,SD,Negeri,-,0,0,0,2,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67019767540BDB0B0FDB
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 BOGOHARJO,20511381,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA983E5F6CF994573653
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 COKROKEMBANG,20511487,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/117BF10B8313DE86C9AF
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 HADILUWIH,20511513,SD,Negeri,-,0,0,0,2,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B11C4594832C7A057B64
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 HADIWARNO,20511511,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D6896AA0B2547E4CB84
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 NGADIROJO,20510872,SD,Negeri,-,0,0,0,1,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3358A257B80861DEC5A7
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 NOGOSARI,20510923,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/700B868930B2CE99C118
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 PAGEREJO,20510925,SD,Negeri,-,0,0,0,2,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB42E6C48599C252A431
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 SIDOMULYO,20510834,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68BCA20588CE96363054
Prov. Jawa Timur,Kab. Pacitan,Kec. Ngadirojo,SD NEGERI 1 TANJUNG LOR,20511048,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F772770A45A6426C3D4
