provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N BUNGURCOPONG 1,20601376,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5F3A49E165EF3A41DDE
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N CIHERANG 1,20601433,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7547E45F24FE3FC9B27
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N CIHERANG 2,20601432,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/026740AE6DA641229F2E
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N CIHERANG 3,20601431,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87E80150D4B4FC769262
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N CILILITAN 2,20601166,SD,Negeri,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/204DB0595B67E6D47ABF
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N CILILITAN 3,20601165,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37F4AE7614F605768DC0
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N KADUBERA 4,20601199,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E4FD93C6AE35BDC0892
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N KADUPANDAK 01,20600314,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C98C8FC2D567A4804C91
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N KOLELET 1,20600298,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A06507CA2E7BD1B0BD2F
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N KOLELET 2,20600297,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE1B31EFE02DD71F521D
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N KOLELET 3,20600296,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36022F6D59DDEA00853C
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N PASIR PANJANG 1,20600230,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28CB22D506C7C3D8085D
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N PASIR PANJANG 2,20600229,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3EC0B8E5AF8852EA978
Prov. Banten,Kab. Pandeglang,Kec. Picung,SD N PASIR SEDANG 1,20600207,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D931E96B3E6DEE5AC8FB
