provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 1 SEGERI,40300708,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9053DF78FD20C55D94E
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 10 BONE,40300709,SD,Negeri,-,0,0,0,0,0,5,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CF788C873EC8CE3F80C
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 12 AMUNG,40300701,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59FEB6C9175BBC00F156
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 14 LASARE,40300721,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F41752EDFB17361D1F2B
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 2 SEGERI,40300887,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C379DE33133C2CCC970
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 23 TAKKU,40300799,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF1E5A80BD4CFC005F9D
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 25 PARENRENG,40300822,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/002E06596B8A155835DD
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 26 MANGKACA,40300840,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA4FBDE6DEC876B2A6B8
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 28 PAKKANG,40300829,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F8FE13BCA8695EA9B5F
Prov. Sulawesi Selatan,Kab. Pangkajene Kepulauan,Kec. Segeri,SD NEGERI 32 BAWASALO,40300562,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1AC22920840153A9660
