provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD INPRES 1 TOLAI,40203079,SD,Negeri,-,0,0,0,0,0,14,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7331297775E38C1CC7A8
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD INPRES 2 TOLAI,40203257,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA3A903BAF802BEF7D8D
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD INPRES 3 TOLAI,40203167,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A497ECB3C395003C07B8
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD INPRES TANALANTO,40202887,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAC5FE914FAB623052E9
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD INPRES TORUE,40202895,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE8EE8232B9C32A1F261
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI 1 TOLAI,40202907,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A675F0C392D70901B4D
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI 5 TOLAI,40202860,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79EC680FE8E53C846DBF
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI ASTINA,40202862,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9427381ED7BBF61C80B
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI KECIL TOKASA,40203001,SD,Negeri,-,0,0,0,0,0,12,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A67BEF9A5826D4EBE97
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI PURWOSARI,40202992,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE5DC8909A2D1C9FC007
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD NEGERI TORUE,40203019,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED43FBF7FFDA4B5D8B38
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SD DDI TOLAI,40203127,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE30F733870B3C18BC57
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMP NEGERI 1 TORUE,40205120,SMP,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/660FD23F8894DC7932DD
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMP SATU ATAP NEGERI 1 TORUE,40206298,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED37B99EAEC66E3C22DF
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMP SARASWATI TOLAI,40202935,SMP,Swasta,-,0,0,0,0,0,12,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D0B76720CB0D947CB94
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMP SWASTYASTU TOLAI,40202936,SMP,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82443BEF21911B0C7211
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMAN 1 TORUE,40202945,SMA,Negeri,-,0,0,0,0,0,34,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60D69A002EDDF52CCC01
Prov. Sulawesi Tengah,Kab. Parigi Moutong,Kec. Torue,SMAS SARASWATI TOLAI,40203038,SMA,Swasta,22 Aug 2019 20:15:28,2,52,3,10,2,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EAA9D0C15F22D7C3D25
