provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI BULUKANDANG I,20519546,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEAFF5F9FAED8AB5C1E3
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI BULUKANDANG II,20519530,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D55C5AB99759B537C28
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI CANDIWATES I,20519510,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9008DBAF8DDEF78FE273
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI CANDIWATES II,20519509,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5A7D9CC4E7E1084544C
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI DAYUREJO I,20519364,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27CDFC6691C41E5FE216
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI DAYUREJO II,20519375,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E15F9C0ED81D5959C9B4
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI DAYUREJO III,20519376,SD,Negeri,23 Aug 2019 20:29:19,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30A49DA0D4B9D9F2C32E
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI DAYUREJO IV,20519377,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAADFDA00851C9B53CFE
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI GAMBIRAN I,20519344,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46CF26472C5FC0A92C2B
Prov. Jawa Timur,Kab. Pasuruan,Kec. Prigen,SD NEGERI GAMBIRAN III,20519343,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D557C7BC94AAA42A2C0
