provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI BANGSALREJO,20317038,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB987092291FB29B9AC5
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI BUMIAYU 01,20317003,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/709AE3D2AAF0F1BCA9E6
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI BUMIAYU 02,20317250,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3ED2F0F3162FC5F50174
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI JATIMULYO,20317102,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F1AC1575C2BEECF7E36
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI JETAK,20317091,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9C2740D5DF7DD0D0BC6
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI JONTRO,20316314,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FA82EDBB61D1558D24F
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI KEPOH,20316265,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C41605882EA52D91C0D
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI MARGOREJO,20316318,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7972AABF9D6A85C3D80B
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI NGURENREJO,20316159,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C618673A6E40254D1C1
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI NGURENSITI 01,20316157,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D1C54A3EE4C1CCB323F
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI NGURENSITI 02,20316158,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F43F73392E9F7EFE2BF5
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI PAGERHARJO 01,20316154,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0973A1910FE64BABCD23
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI PAGERHARJO 02,20316153,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F8BB165EF98AEB33A7D
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI PANGGUNGROYOM 01,20316109,SD,Negeri,-,0,0,0,0,0,13,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65FF03CB9A3E50226BD4
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI PANGGUNGROYOM 02,20316684,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07AE276A57EBA662B94D
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI SUKOHARJO 01,20316537,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07317CF500C4A39783BE
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI SUKOHARJO 03,20317245,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCE173343F4FDCE9B872
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI SUWADUK 01,20317232,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/906CB205677F47EE52F6
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI SUWADUK 02,20316658,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9626C9B537486A16D92F
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI TAWANGHARJO 01,20316644,SD,Negeri,23 Aug 2019 23:07:03,8,161,6,7,2,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2838E8AF4DD14FE32CEC
Prov. Jawa Tengah,Kab. Pati,Kec. Wedarijaksa,SD NEGERI TLOGOHARUM 01,20316611,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1DDA669A2B0FE90BE4C
