provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 BATURSARI,20324664,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57DF725EA94825549291
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 CIKENDUNG,20324493,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2314F5EA674F3DC4568
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 CLEKATAKAN,20324506,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5002553ACC7E630CC24
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 GAMBUHAN,20324504,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF783094B262474A34CC
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 GUNUNGSARI,20324476,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/710FB970EAA20130E017
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 KARANGSARI,20324474,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCF8B64431E9156EAFC0
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 NYALEMBENG,20324570,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F36D33642D24DABD369
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 PAGENTERAN,20324539,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14A572EF9C1D9AB1BABE
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 PENAKIR,20324522,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE4500A120FD2B13412E
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 PULOSARI,20324530,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCA37B907DB609F3C883
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 01 SIREMENG,20324873,SD,Negeri,23 Aug 2019 10:00:15,1,206,6,8,2,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57D547155FE7BB0E684B
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 02 BATURSARI,20324963,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CF4C08D8B50614D2769
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 02 CIKENDUNG,20324915,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BF1CF538AD33CADD1B5
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 02 CLEKATAKAN,20324914,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59B98B0F61048D14DDB7
Prov. Jawa Tengah,Kab. Pemalang,Kec. Pulosari,SD N 02 GAMBUHAN,20324912,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8E9CF89B8D5E76657CB
