provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 01 PASAR KUOK,10302127,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/932ADA9FEADA78B3D86B
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 02 SUNGAI NYALO,10302055,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC135B2ABC5159D6104C
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 03 BUKIT TAMBUN TULANG,10302057,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A43F29EB5F5D327B6254
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 04 PASAR TALUK,10302044,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CE1830098D4365B138B
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 05 SUNGAI BUNGIN,10302081,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D163A70EE6DFBFF43423
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 06 ANAKAN,10302082,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F33365E9F992558053D
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 07 TUIK,10302071,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD43706A6A7C55FF58C4
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 08 KOTO GUNUNG,10302074,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/048C0B13FF682BB51EDB
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 09 LUBUK NYIUR,10302230,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DFA4262C9AA84030E81
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 10 TERATAK TEMPATIH,10302207,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/709C10D0BD7F69F9DC90
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 11 TELUK BETUNG,10302253,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4AF537AD034E5CBAAAC
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 12 LIMAU SUNDAI,10302257,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/176AC1961D9566189A37
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 13 LUBUK NYIUR,10302237,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83F4DC79E43AAE79A5B8
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 14 KOTO NAN TIGO,10302244,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D511DE0F84867F0A43BF
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 15 KOTO PANJANG,10302164,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/667198774C630849942B
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 16 TELUK KASAI,10302148,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE4FED05FB7B8254846E
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 17 SAPAN,10302155,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01706EB52001D3B90336
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 18 TANJUNG KANDIS,10302190,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A73768AB411686B8C47D
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 19 KAMPUNG BARU,10302192,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92A0B9DFC736A8D27BD6
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 20 JALAMU,10302175,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97ACD66100225EC09ADC
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 21 LIMAU SUNDAI,10301889,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/256B103CB14C57896D9D
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 22 PASAR TALUK,10301896,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ADA8CED05D55183F08E2
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 23 PASAR KUOK,10301877,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2734030B153DEF1C62F9
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 24 ANAKAN,10301880,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51EC6250683196A37D4C
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 25 SUNGAI NYALO,10301921,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5BC90C316B0F146EB27
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 26 BUKIT TAMBUN TULANG,10301923,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7E6EA8ADA38E67CE8B3
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 27 LUBUK NYIUR,10301908,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A66CFA2508FD9651588
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 28 JORONG NAN TIGO,10301925,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13E542997A1CD9E79887
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 29 TERATAK TEMPATIH,10301830,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21694DF45354C2426862
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 30 KOTO TUO,10301819,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D27CFEB725F722FC06DE
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 31 LIMAU MANIS,10301829,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1019FE3AC5CE9489AC52
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SDN 32 KOTO KEDUDUK,10301860,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBAA292ECA33F6CA7349
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SMP NEGERI NO 1 BATANG KAPAS,10301938,SMP,Negeri,-,0,0,0,0,0,21,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABAF8957AAA5EF22372B
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Batang Kapas,SMP NEGERI NO 2 BATANG KAPAS,10301937,SMP,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1354A9BD37D61ADAC814
