provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 01 KOTO MERAPAK,10308031,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1121C8A72B7912FA5E21
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 02 AMPALU,10308033,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBD02503EA70645CCAC3
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 03 PASAR AMPING PARAK,10308189,SD,Negeri,-,0,0,0,0,0,24,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4566F569CD317CEBE627
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 04 PASAR SURANTIH,10308190,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A90B6C68928257E9B80
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 05 TIMBULUN,10308034,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AEA783448DD5D21EA8E
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 06 PASAR TERATAK,10308035,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B64D5B19832F312581E9
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 07 SIKABU MUNTO,10308036,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6C45411636D1E8500AA
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 08 PASAR SURANTIH,10308037,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/891A4EDC50FFC4869771
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 09 UJUNG AIR,10308038,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB9736ABE45FED0B3052
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 10 KAYU GADANG,10308039,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBE6BFDCF17968ADF022
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 11 RAWANG,10308040,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28BC2742E11D0D624395
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 12 GUNUNG MALELO,10308041,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2F82AA7B55946DA1AC5
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 13 LANGGAI,10308042,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB7D051EA4FE2791A37B
Prov. Sumatera Barat,Kab. Pesisir Selatan,Kec. Sutera,SDN 14 SUNGAI SIRAH,10308043,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B91B2C9810743277D57F
