provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 BALONG,20510364,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/91FEE4B7B28BCD58DF94
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 KARANGAN,20510621,SD,Negeri,-,0,0,0,0,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/341B707075DEE3FD93A0
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 KARANGPATIHAN,20551642,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48A05B10752B1F8CC3CA
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 MUNENG,20510609,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DDB3D843C883700B3A5
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD Negeri 1 Ngendut ,20510682,SD,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CCF7AF3468CE608C770
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 NGUMPUL,20510698,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5AF80BF4E14C97574F7D
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 PANDAK,20510693,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880C070379CF96AE9D5B
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 1 SEDARAT,20510665,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FCBBBCB0F2E1341B312
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 2 KARANGPATIHAN,20551919,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4A07E05F3A7F7046621
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 2 PANDAK,20509935,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/068C4BD3E79BEA33758E
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 2 SEDARAT,20510038,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B8DFBD3D0E823FFE6B3
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 3 BALONG,20509853,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/050EA810D00B79FBA263
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 3 KARANGPATIHAN,20509809,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/626616D456F488AFE381
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 3 PANDAK,20509895,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7D83186861A6BD830D1
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI 4 KARANGPATIHAN,20509876,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F133ECF94F2DC51BD283
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI BAJANG,20510161,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/927954645A721E227E9A
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI BULAK,20510174,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7743E7A1073485C8C6B
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI BULUKIDUL,20510340,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F53AF27231900BA210E
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI DADAPAN,20510247,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EACFDADE29EA37B47B4
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI JALEN,20510260,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABA71F5CAD3EEB4E5C8F
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI KARANGMOJO,20510224,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E411F2B6CAB211B38D07
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI NGAMPEL,20510685,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/788EC7ABC68E7DB3031A
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI NGRAKET,20510076,SD,Negeri,23 Aug 2019 08:47:52,1,90,5,9,3,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7A089C8BBF3F28F5596
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI PURWOREJO,20510086,SD,Negeri,-,0,0,0,0,0,6,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/770419A447E18D26DB4B
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI SINGKIL,20510051,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/397BC8207F4AD5B471F6
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI SUMBEREJO,20510046,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1696F4CCF5D51730B7D
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SD NEGERI TATUNG,20510530,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC31EE7DF2B787F5A782
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMP NEGERI 1 BALONG,20510764,SMP,Negeri,-,0,0,0,0,0,24,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9985055FA3507A763EC0
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMP NEGERI 2 BALONG,20510709,SMP,Negeri,-,0,0,0,0,0,20,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CEC2D9DF5A6F02377AA
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMP ISLAM TERPADU AL AZHAR,69950907,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/011C447AE79801105183
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMP MUHAMMADIYAH 4 BALONG,20510748,SMP,Swasta,-,0,0,0,0,0,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AAABB35E5F7109FC978
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMAN 1 BALONG,20510133,SMA,Negeri,-,0,0,0,0,0,14,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D0E02B9B103A94A4C6F
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMAS MUHAMMADIYAH 4 BALONG,20549446,SMA,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/814E4B48A78357BF255A
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMK 1 PEMDA PONOROGO,69873539,SMK,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23D8F812A39F5ADA2B4C
Prov. Jawa Timur,Kab. Ponorogo,Kec. Balong,SMKS DARUL ISTIQOMAH,20549622,SMK,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A1C37EBCEC52FF3FA69
