provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 BONDRANG,20510344,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA6977BEF7B1BACAA7A6
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 GROGOL,20510633,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44393653F6ECE96E82C9
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 KORI,20510607,SD,Negeri,-,0,0,0,1,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95D542B274CB4F51F298
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 NGINDENG,20510680,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F358BE14E34E23EF971
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 PANGKAL,20510692,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C494DEBDED271B6E4B52
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 PRAYUNGAN,20510649,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87A8F1070DB0274D970D
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 SAWOO,20510667,SD,Negeri,-,0,0,0,0,0,12,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50AC9CDA9E9568B2ADDA
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 SRITI,20510515,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA00E3E44979DA58EF70
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 TEMON,20552079,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F267E52CBEA6EDDFA2AE
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 TEMPURAN,20510512,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/273B685AC55B7FB85D9B
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 TUMPAKPELEM,20510491,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB3FE1660C6AAEC0ADBA
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 1 TUMPUK,20510490,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/191C9FF15D59275C61FA
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 2 BONDRANG,20510591,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA83747D8F2467D1DAB1
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 2 GROGOL,20510542,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD8F34B9E7DD4A20FEA9
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 2 KORI,20509943,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAFDA3DBFC4641B29C2F
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 2 NGINDENG,20509921,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65E06ED9BF14CF959DCE
Prov. Jawa Timur,Kab. Ponorogo,Kec. Sawoo,SD NEGERI 2 PANGKAL,20509934,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C64014B78CC9589D55CB
