provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BANJARSAWAH I,20546881,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B30491ED4F7DBB5E0F1A
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BANJARSAWAH II,20546882,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/191ED2692EA4C637C43F
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BLADO KULON I,20546883,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC5B4165178F4650636E
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BLADO KULON II,20546884,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4308EFC84D77D65D3B80
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BULUJARAN KIDUL,20546892,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DF623FE5B318C0DF8A3
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BULUJARAN LOR I,20546893,SD,Negeri,23 Aug 2019 23:56:09,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32BEDCC449B2172E18D9
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI BULUJARAN LOR III,20547487,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A47F36DEE2CC442AA86C
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI GUNUNG BEKEL I,20546895,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA12505F2B13F3AB7557
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI GUNUNG BEKEL II,20546896,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD7C78D11FF1A16CF5A6
Prov. Jawa Timur,Kab. Probolinggo,Kec. Tegalsiwalan,SD NEGERI GUNUNG BEKEL III,20546901,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/192A5987DB6FC7FF4D09
