provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 101 REJANG LEBONG,10700824,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51D6CED23874EF2299F1
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 133 REJANG LEBONG,10700597,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C97327701953BF9BC99
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 149 REJANG LEBONG,10700808,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47E94729F3C5CAE3DD79
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 156 REJANG LEBONG,10700643,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5EF4F9CAD2D308AD19F
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD Negeri 172 Rejang Lebong,69986250,SD,Negeri,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52D22D1C4F0A08D60CA0
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 27 REJANG LEBONG,10700811,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/821781E1D2C6538C05EA
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 39 REJANG LEBONG,10700575,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C8A64668D6E4E8BE066
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 67 REJANG LEBONG,10700813,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B11BE6AA70C7CAF6A1A6
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SD NEGERI 86 REJANG LEBONG,10700562,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/096C7462F59E4DA3802B
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SMP NEGERI 20 REJANG LEBONG,10700682,SMP,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90D5203E1F40053C88A8
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SMP NEGERI 28 REJANG LEBONG,10702872,SMP,Negeri,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/727A098D6E070DAFE216
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SMP NEGERI 38 REJANG LEBONG,10702990,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F8ABED359325E0B8B24
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ilir,SMA NEGERI 13 REJANG LEBONG,69881045,SMA,Negeri,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3DEB0286D035DC2D9D8
