provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 115 REJANG LEBONG,10700802,SD,Negeri,24 Aug 2019 00:02:06,1,88,5,9,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4418F5AC61AFE7657C5
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 121 REJANG LEBONG,10700819,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6945886C6F7E20E33465
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 151 REJANG LEBONG,10700518,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/856A4B466D249FDEC6F3
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 155 REJANG LEBONG,10700507,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65D29368C6E902D18111
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 163 REJANG LEBONG,10700512,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCCEEC954C82E2C41409
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 28 REJANG LEBONG,10700815,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/911531A4CD738A5820C7
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 54 REJANG LEBONG,10700798,SD,Negeri,24 Aug 2019 17:27:16,2,121,6,6,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08664AC523FE51A393BB
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 55 REJANG LEBONG,10700801,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32D2C4FF4D0A9ADF155C
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 56 REJANG LEBONG,10700788,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EACABB29690945136B91
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 64 REJANG LEBONG,10700796,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1A060EADB50A85EEE5F
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 65 REJANG LEBONG,10700783,SD,Negeri,-,0,0,0,0,0,14,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A01656D0C2E0C1DF5362
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SD NEGERI 94 REJANG LEBONG,10700785,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93CAC3A9621150E79477
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SMP NEGERI 18 REJANG LEBONG,10700607,SMP,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8471C1E02DC144D1354
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SMP NEGERI 26 REJANG LEBONG,10700634,SMP,Negeri,25 Aug 2019 20:24:34,1,42,3,7,0,4,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63CEE36CC09DE3D3850D
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SMP NEGERI 36 REJANG LEBONG,10702989,SMP,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A063E4FF57789BD521A5
Prov. Bengkulu,Kab. Rejang Lebong,Kec. Sindang Beliti Ulu,SMA NEGERI 14 REJANG LEBONG,69949147,SMA,Negeri,-,0,0,0,0,0,5,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/127C1FE8B18BF0E40F91
