provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 KUTOHARJO ,20315963,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD4A9069FC255285762C
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 LETEH,20316019,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6AA2EE9B816F273458E1
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 PASAR BANGGI,20315646,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/818F34558C0F2AEE3CD7
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 PULO ,20315630,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE175C99A4DFE89AAE04
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 SUMBERJO ,20315759,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/855FBFB8BE7D8B58C418
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 TANJUNGSARI ,20315747,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E7C7DDF5969270E8B59
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 1 WARU ,20315783,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B96D1EB1930EB206ACA6
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 KUTOHARJO,20315964,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC0465CED935B57BD0A4
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 LETEH,20316021,SD,Negeri,-,0,0,0,0,0,12,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDBD31A9E3E82843C08D
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 PASARBANGGI,20315647,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/063DBA9B2BF9FBB0DC29
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 PULO,20315631,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DD572A6B0F46DF10701
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 SUMBERJO ,20315760,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FC4FC50A4756BC62976
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 2 WARU ,20315784,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C55BA81B56A56EA7D62C
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 3 KUTOHARJO ,20315965,SD,Negeri,-,0,0,0,0,0,8,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CBB50AD8E14A9822EDF
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 3 SUMBERJO ,20315761,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A863515B9A6654666476
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 3 WARU ,20315785,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5DF56D6778153B87FD8
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 4 KUTOHARJO,20315966,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE6ABB153F940A65BCE3
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 5 KUTOHARJO,20315985,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D90FAAA9102B72674A0
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI 6 KUTOHARJO ,20315986,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0198489329A2600CE09
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI GEDANGAN ,20315856,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/007F519EA0CEB309D79F
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI GEGUNUNG KULON,20316044,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02254DD048E6B85645AA
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI GEGUNUNG WETAN,20316045,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4716D82298684E5BF3A2
Prov. Jawa Tengah,Kab. Rembang,Kec. Rembang,SD NEGERI KABONGAN KIDUL,20316081,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C85C51A2A18712E46854
