provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 BANCANG,20315816,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AF4D1305848CEF12C66
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 MRAYUN ,20315609,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A303726FBC8990A8CC0D
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 SALE ,20315524,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50B496F1C8F9FFE49652
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 TAHUNAN ,20315739,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12B0D839F9364F3A63A6
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 TENGGER,20315798,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EA9661DA55D1815887A
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 UKIR,20315781,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E30F06469BBA9D86288A
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 1 WONOKERTO ,20315684,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86D2995008177B56ED19
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 2 BANCANG ,20315817,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D34028303DCA63C48BE4
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 2 MRAYUN ,20315610,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09D29EC5C5D9E8A48D43
Prov. Jawa Tengah,Kab. Rembang,Kec. Sale,SD NEGERI 2 SALE,20315525,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3340B3C184463C16E82B
