provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 01 TAMANG SAGANG,30100423,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BDE0974E0D1BEACA101
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 02 GALING,30100411,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16944D928BB2E146F6BF
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 03 PARIT BARU,30100429,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3FBD0F141D80FBF92D9
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 04 SUNGAI GUNTUNG,69787965,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C552E4054DCC3329D62
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 05 SAGU,30100445,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B6B5AE1C719A474C20E
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 06 KUPAK REBUNG,30100635,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33511603D44E3BDA1D1F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 07 SIJANG,30100663,SD,Negeri,-,0,0,0,0,0,9,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEE4D7C583E25DB2FC95
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 08 SEMANJAK,30100672,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50B035779FDD2A1933B9
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 09 SEKILAH,30100654,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BD13ABFE6055C42D6D6
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 10 DAUP,30100556,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5546ECA95834A1C4C99A
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 11 KOTA LAMA,30100537,SD,Negeri,-,0,0,0,0,0,4,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61A596E898E23A16D597
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 12 KEMBAYAT,30100551,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E28576C72C9A453EEBCB
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 13 PARIT KONGSI,30100600,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A00A06AD6F614F4254B
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 14 SAGANG,30100580,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/439C2AEB04E60C5B52CD
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 15 SIDUK,30100207,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA53D2FC01106F3DC4F6
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 16 DADAU,30100209,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B1150E95D2A63F90E87
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 17 GURAH AUR,30100186,SD,Negeri,23 Aug 2019 20:51:21,1,133,6,8,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0968EEE14994124130F5
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 18 SEBURUAN,30107285,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/031671DF784E7FEC497F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 19 SEMANAS,30107286,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0386596AA34EDCD4232D
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 20 SUNGAI PALAH,30112032,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D2F290F7B040CEC1B56
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SDN 21 TEMPAPAN HULU,69888560,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5A6E3A8CBA60B3AA588
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SMP NEGERI 1 GALING,30100264,SMP,Negeri,23 Aug 2019 07:10:47,12,309,11,17,2,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/645451F3C1F187A35AEF
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SMP NEGERI 2 GALING,30106170,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20A023620699C8A1C7A6
Prov. Kalimantan Barat,Kab. Sambas,Kec. Galing,SMP NEGERI 3 GALING,30106174,SMP,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4DDA0776E8E2CB7E880
