provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 01 SELUMA,10701638,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B07B17C4994BF98F337
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 113 SELUMA,10701443,SD,Negeri,-,0,0,0,0,1,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7781240E0CEF0DD2BCDF
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 126 SELUMA,10701477,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B31626DAC8FB05676EF
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 127 SELUMA,10701480,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B166EB84812F9E99F12
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 143 SELUMA,10701442,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D17C1E75B7A187A52A18
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 150 SELUMA,10701473,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6681BC51B5B54FCCD02E
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 152 SELUMA,10701417,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42658B36738F4FADE8FA
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 160 SELUMA,10701706,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1742F23D4F4EDFCCB90
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 35 SELUMA,10701594,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46DE654F63840993DCBF
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 55 SELUMA,10701603,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4C21BCA5389A4B44951
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 62 SELUMA,10701701,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/511A734412C70C9A25EC
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 69 SELUMA,10701657,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA9289A75F78C2845DCC
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 81 SELUMA,10701683,SD,Negeri,25 Aug 2019 17:05:00,3,136,6,7,3,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/682A32E556726CD535A7
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SD NEGERI 83 SELUMA,10701686,SD,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72F2BC65D3810A151E75
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMP NEGERI 06 SELUMA,10701500,SMP,Negeri,-,0,0,0,0,0,17,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D87107ED1DEE3A35C01
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMP NEGERI 11 SELUMA,10701518,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1704248AA9A367F72AE7
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMP NEGERI 21 SELUMA,10702671,SMP,Negeri,26 Aug 2019 00:17:13,14,120,5,10,2,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAE52A66BCD8C45E74AF
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMP NEGERI 29 SELUMA,10702675,SMP,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/600F6829FBE853FC4ED3
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMAN 3 SELUMA,10701558,SMA,Negeri,-,0,0,0,0,0,17,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40FD78E2E3E2401B2DF4
Prov. Bengkulu,Kab. Seluma,Kec. Air Periukan,SMKN 3 SELUMA,10703205,SMK,Negeri,-,0,0,0,0,0,24,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D67F12DC81C7D373E9E
