provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI BANDARJO 01,20320796,SD,Negeri,-,0,0,0,0,0,7,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B89E01CADADAA45B7F7
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI BANDARJO 02,20320795,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1068F3D3ABC5123B8A73
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI BANDARJO 03,20320794,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA0AEECE5A218BB1FCA4
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI BRANJANG,20320858,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A77229810DE8B8D4050
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI CANDIREJO 01,20320812,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42565AAB983B50705F46
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI CANDIREJO 02,20320809,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49A08C96EE3BE051692A
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI GENUK 01,20320685,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/058953587317D2609FCB
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI GENUK 02,20320684,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F806E3E6626E8E9F5941
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI GOGIK 01,20320651,SD,Negeri,23 Aug 2019 10:55:31,8,159,6,8,2,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BBB7A3A4DA55DC61246
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI KALISIDI 01,20320742,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/929EE35328A3B51EFE56
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI KALISIDI 02,20320741,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DE1376DAF53E3925FAD
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI KALISIDI 03,20320740,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E32EE644EC595A649904
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI KEJI,20320147,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/385C339C5AFFE1950F1A
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI LANGENSARI 01,20320184,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/269663AE03E2C9767256
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI LANGENSARI 02,20331141,SD,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC4347D396294E243E4C
Prov. Jawa Tengah,Kab. Semarang,Kec. Ungaran Barat,SD NEGERI LANGENSARI 03,20320183,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0A21CCD6F2723F89E88
