provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD INPRES LATU,60102621,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70DD7BD8359B32356894
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD INPRES RUMAHKAY,60102626,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AC34140224C908CDF56
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD INPRES SERIHOLO,60102627,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36CE848D0E832174D599
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI 1 HUALOY,60101573,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D09CB29DC5222BBAD19A
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI 2 HUALOY,60101614,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/926F82DFE4B0BA463C69
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI 2 TIHULALE,69947137,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54423E973E73EC33CE5F
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI LATU,60101519,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97E147408455C4AB3ACE
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI NAMATOTUR,60101521,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA1BAFC9F62BAB201E4F
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI RUMAHKAY,60101511,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5EF691024A7F39772345
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI TIHULALE,60101502,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C607B482592F4BD50B7C
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD NEGERI TOMALEHU,60103710,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3953C42A20C76C9184A
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SD KRISTEN TALA,60102677,SD,Swasta,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25B94759768DC5981685
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP NEGERI 10 KAIRATU,60102864,SMP,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9899BD3F2B72F84A14A4
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP NEGERI 11 KAIRATU,60102883,SMP,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44BC77033BA4870C8805
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP NEGERI 12 KAIRATU,60104006,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC5CAE5023ECEDBAA938
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP NEGERI 2 KAIRATU,60102873,SMP,Negeri,22 Aug 2019 08:04:19,1,149,6,17,7,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9955663C7D50D4EC40CA
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP NEGERI 6 KAIRATU,60102703,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DE00B54AB8C6EE96EEE
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMP BPD TALA,60104020,SMP,Swasta,-,0,0,0,0,0,6,0,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7862A72DABB9C26874F8
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMAN 3 KAIRATU,60102894,SMA,Negeri,23 Aug 2019 19:29:03,1,175,8,24,13,14,4,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22F14F4D1BC21E52C96B
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Amalatu,SMAN 5 KAIRATU,60102886,SMA,Negeri,-,0,0,0,0,0,9,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD165D3E8EC92CD146D9
