provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 102059 SARANG GITING,10209702,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFF0F981018FBAA5C95E
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 102062 BANGUN BANDAR,10209712,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5398D0B74F6CEF6CA63
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 102070 PONDOK ULU,10209693,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/837137E7D0453E09138C
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 104310 TEGAL SARI,10209689,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/169DB8DEA650B03AEAB5
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 104312 KOTA TENGAH,10209687,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C10E90DDBC498D01CCA4
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 104315 JATI REJO,10209684,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/569287EB06DB231AEF36
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 105423 SILAU BANDAR,10209244,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B341BE8C9EF863930D8
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 105424 BUKIT CERMIN,10209243,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D78A21799506178AF5F5
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 105427 PARDOMUAN,10209240,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EFCA1108E8640AC3C2A
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 105428 SILAU MERAWAN,10209239,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DA4E0131FF7CFA47294
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 106864 HUTANAULI,10209137,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21372F894A1A4322CC8C
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 106867 BINTANG TIMUR,10209134,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F86AEA2C9EA0BF5B6EEF
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI 107458 BLOK H UJUNG,10209381,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94A3CB0C3D7C4C812B1C
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102058 DOLOK MASIHUL,10209694,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4962D229A88783261810
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102060 SARANG GITING,10209703,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8FA6CFE9A342CB31C5A
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102061 BANGUN BANDAR,10209704,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77F989C6505F9DB0B2AE
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102063 BANGUN BANDAR,10209711,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33C28C6E37B5B0D3A8B4
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102065 HAVEA,10209709,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/806D3BE875DC04BF67A3
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102066 SINTANAULI,10209708,SD,Negeri,-,0,0,0,0,0,8,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/191281E806F6BCA1108E
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102068 KAMPUNG DAME,10209706,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1ABC02A0C1C68AF85AD
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102069 BLOK SEPULUH,10209705,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CDF692D0836601E3291
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 102071 DOLOK MASIHUL,10209735,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67A47B62E1C0236CB688
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 105425 MALASORI,10209242,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C11099D3D2F0F43933CE
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 105429 BAJA RONGGI,10209247,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC86BEACE3492DF2042E
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 105430 BONGBONGAN,10209248,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CEF66C2DC0EE9F785BAA
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106223 PEKAN KAMIS,10209120,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA45323106CA08D00380
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106224 KERAPUH,10209119,SD,Negeri,-,0,0,0,0,0,17,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B83062D66FA3E1A459A
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106225 SUKARAME,10209106,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F3D1ED5CD1801F3EB9C7
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106226 PADANG BARU,10209105,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D52D19EA68D80D8A05E3
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106456 DESA BANTAN,10209096,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2ABD329B990444139738
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106865 BANDAR PAMAH,10209136,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B1EAFD95A1AAE402C78
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 106866 CEMARA,10209135,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10407FCAD29C140255EC
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 107455 TEPI PASAR,10209384,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D19A0DF273142F20AD5
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 107457 UJUNG SILAU,10209382,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE4D7E97D4585CCFE9A0
Prov. Sumatera Utara,Kab. Serdang Bedagai,Kec. Dolok Masihul,SD NEGERI NO 107828 ARAS PANJANG,10209348,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CB8A5F0123F9EE26362
