provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 1 KULO,40305548,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82E0E690D4F98C7C7FC2
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 1 RIJANG PANUA,40305582,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24C3B27BC8AAB77936B3
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 2 KULO,40305708,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7C199FCA72208EDB69D
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 2 RIJANG PANUA,40305647,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F437ECB7063A7B05C812
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 3 KULO,40305669,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A10934FB1E58A5F1584
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 3 RIJANG PANUA,40305660,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F43108BE40028E4DB2A2
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 4 KULO,40305423,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA80750F10F1F39950F7
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 4 RIJANG PANUA,40305445,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/940D3EBC7725FB1F4E6E
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 5 KULO,40305389,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A33A9C59CDF071D10939
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 6 KULO,40305408,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C57EE45EF6D152BF3CC3
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 8 KULO,40305504,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAE47C3E9C343FCD27B8
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SD NEGERI 9 KULO,40305536,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDCBC4B47D91FEFD09EB
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SMP NEGERI 2 KULO,40308871,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A708A04EAE6D4C0C0104
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SMP NEGERI 3 PANCA RIJANG,40305488,SMP,Negeri,-,0,0,0,0,0,11,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6160646C34FA508BBDAE
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Kulo,SMKN 1 KULO SPPN RAPPANG,40308938,SMK,Negeri,-,0,0,0,0,0,19,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42DD2190CE82B935B169
