provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI BEBEKAN,20502386,SD,Negeri,-,0,0,0,0,0,13,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C158DB53F8FBF3DAB07B
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI BOHAR,20502359,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3106A2885242AB69B588
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI BRINGINBENDO 2,20502371,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6F85284A9E0D5337E46
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI BRINGINBENDO I,20502358,SD,Negeri,-,0,0,0,0,0,18,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3B9CC609CBE7AA538AB
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI GELURAN 3,20502204,SD,Negeri,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAC521BB36648A20DA55
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI GELURAN I,20502206,SD,Negeri,-,0,0,0,0,0,12,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/069DEC8AF593D969F533
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI GELURAN II,20502205,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AD6A94E17CD44D75E5E
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI GILANG 1,20502184,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3ED837EF9464674186A
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI GILANG II,20502183,SD,Negeri,-,0,0,0,0,0,6,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A488D49BC9499D7D34ED
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI JEMUNDO I,20502175,SD,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77E826D58B40CAC7D7A6
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI JEMUNDO II,20502174,SD,Negeri,-,0,0,0,0,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/470F8CBABFF8FDAA758A
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Taman,SD NEGERI KALIJATEN,20502259,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF1344DA322AD2CB6C04
