provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES BAOKREMOT,50302378,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/824046C8604641B39BFF
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES BLAWUK,50302385,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE1B738BD9FE7A816CA3
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES DUNGAN,50302419,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30CFD23806A074CCED45
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES HENGA,50302318,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DC0524F15E6E70EED8C
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES LXX HABIRATIN,50302406,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F3AF2D27D5C1229F81B
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES NANGAMERAH,50302371,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B23A8C05F7978A371A81
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES NATARITA,50302363,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D60BDBFABD53EDE6E44B
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD INPRES WAIRHEK,50302476,SD,Negeri,-,0,0,0,0,0,13,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD9D99B571AEC8C8E42F
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD NEGERI NEBE,50302291,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2051C2393111654D0D5
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN GEMBIRA,50302151,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C7323EF424F543D7064
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN KLATANG,69872151,SD,Negeri,-,0,0,0,8,1,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B604289729D968DC13A
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN KOLIT,69870883,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60A96029197D0341F75D
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN KRINGA,69867968,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16D59D5929C4A89EE6CB
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN TANAH MERAH,50309271,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/628AA401716DEF8DF106
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDN UTANWAIR,69867978,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC523D4B454B5AA17927
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD KATOLIK 041 TALIBURA,50302166,SD,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D9499CABC8A2ADA6C5F
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD KATOLIK 046 OJANG,50302200,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB7F78F92A18E212EEEC
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD KATOLIK BOKANG,50302503,SD,Swasta,-,0,0,0,0,0,15,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCDC5F50CC872CBECCE2
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD KATOLIK KAJOWAIN,50302460,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1319F11427E54A42576
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK 050 WAILAMUNG,50302130,SD,Swasta,-,0,0,0,0,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D71B77E0C439035A893
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK 124 NATALEBA,50302174,SD,Swasta,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DF776280A3BA3DCE47D
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK 130 TANJUNG DARAT,50302133,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/356D81D60710B7F71CE3
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK BOGANATAR,50302502,SD,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F564CB6FCEE4C02738F7
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK HIKONG,50302430,SD,Swasta,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10BCB3350719D733E721
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK NATARMUDE,50309011,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19D234B580BDFE1E3D3E
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SDK WATUTENA,50302127,SD,Swasta,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B6EDFE295EF1B9BC618
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SD-SMP Satu Atap Tanah Merah,69900107,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/963024BE201CCBD4508A
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMP NEGERI 1 TALIBURA,50302250,SMP,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD4A87BD90376209D61C
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMPN Satap Henga,50305301,SMP,Negeri,-,0,0,0,0,0,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A39D8205EE8477499209
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMPK ST ANTONIUS BOGANATAR,50302230,SMP,Swasta,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A45214F3F5964D4A4F7E
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMPK SUPRA,50302246,SMP,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E609E0418DC1A21B64C7
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMAN 1 TALIBURA,50302304,SMA,Negeri,-,0,0,0,0,0,23,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6F2604BE84E91F766FF
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Talibura,SMKN TALIBURA,50302300,SMK,Negeri,-,0,0,0,0,0,13,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CF1BA81058EE86E1298
