provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091286 PANEI TONGAH,10202807,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB3FAAB43C245499F8BA
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091287 PANEI TONGAH,10202806,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/950E8EA2E8828105B33A
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091288 SIBAGANDING,10202805,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D40023822DC2D6AE277E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091291 SIMPANG RAYA,10202803,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B73DA30E2CDED7250F91
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091293 SIMPANG RAYA,10259765,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7632FF1C54CED6D36FB
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091299 SIPOLDAS,10202802,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/032E1C09EED7976F45D1
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091300 BAGADUH,10202801,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE681C60B0784ACB2C1D
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091305 PERSATUAN BARU,10202800,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2B38E691064C7FB68B0
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 091306 PANEITONGAH,10202799,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/336659F63DC293691BDB
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 094106 SIMANTIN PANEI,10203203,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A5785986EC306CFC929
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 095143 SIMPANG SIGODANG,10202427,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3207BFD6C3B084537DE
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 095145 PARBATUAN,10202426,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0D1BE173BF6987564B0
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 095146 PANGKALAN BUNTU,10202425,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8132D5AAF6EBDDB2FB05
Prov. Sumatera Utara,Kab. Simalungun,Kec. Panei,SD NEGERI 095147 PONDOK ATAS,10202424,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72323EBAA52B036EF44B
