provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 CURAH COTTOK,20523073,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E6C7932E9CCB56EA473
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 GEBANGAN,20523087,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CADCE7E64224DE0FC832
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 KANDANG,20523140,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A45BF5AA55BA2F953AD
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 KAPONGAN,20523139,SD,Negeri,-,0,0,0,0,0,20,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54C1C4FCE508F21F0822
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 LANDANGAN,20523122,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F241E391E3BAF87D6E0E
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 PELEYAN KAPONGAN,20523114,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8943E8C6770AAADFF994
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 POKAAN,20522667,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F96A4C1F1C0E39F3AB27
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 SELETRENG,20523010,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/401A4487B616590B2081
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 1 WONOKOYO,20523002,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A1B6B574946E446309E
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 CURAH COTTOK,20523036,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/723E898F07DD16BAFD47
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 KANDANG,20522591,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A37F7AF32679C2E27D4A
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 KESAMBIRAMPAK,20522580,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D9D3BCABC19B9C3395B
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 LANDANGAN,20549146,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37706182F8BFED613B56
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 PELEYAN KAPONGAN,20554646,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4D1A698ECCD863127A4
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 POKAAN,20522561,SD,Negeri,23 Aug 2019 11:53:51,3,99,6,15,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A3001155EA456926745
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 SELETRENG,20522592,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D46EBE48D80C633F83A0
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 2 WONOKOYO,20522602,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA9CDC9657408E27B819
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 3 CURAH COTTOK,20522487,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A93D94DCC3311496532
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 3 KANDANG,20522497,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/535DE95CA9D11C34CA77
Prov. Jawa Timur,Kab. Situbondo,Kec. Kapongan,SD NEGERI 3 KAPONGAN,20522496,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC73B0AAD35BAE0D123F
