provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD N 3 KOTAKAN,20522465,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF94914FE7E21515CCD3
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 1 DAWUHAN,69761956,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E9C965CEDD30F9B28C4
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 1 KALIBAGOR,20523144,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC8C641CF27C360150C3
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 1 KOTAKAN,20523149,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85E79DF2C67C70BA24B3
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 1 OLEAN,20523125,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54CAF61FB2810D260DF1
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 1 TALKANDANG,20523004,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2298703A46D675E4ED2B
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 DAWUHAN,69761957,SD,Negeri,-,0,0,0,0,0,16,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BEBAC4123C47334D3B5
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 KALIBAGOR,20523041,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7439778B2C49DA748897
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 KOTAKAN,20522588,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0D6BFEA4846BC775279
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 OLEAN,20522554,SD,Negeri,23 Aug 2019 09:33:43,10,83,6,10,2,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88BE1B8011A89DB85ABA
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 PATOKAN,20522569,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07525B5958BA7EE71765
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 2 TALKANDANG,20522628,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95123E4F34399DFEFD38
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 3 DAWUHAN,20522493,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/532462EB272E223A7214
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 3 OLEAN,20522479,SD,Negeri,23 Aug 2019 11:47:23,13,103,6,10,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED9905EDF8690AE9D269
Prov. Jawa Timur,Kab. Situbondo,Kec. Situbondo,SD NEGERI 3 PATOKAN,20522547,SD,Negeri,-,0,0,0,0,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F08517ADB746AA30ACD
