provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 ALASTENGAH,20549344,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E57EA96BB42A598337C
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 BADERAN,20523107,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2138EF5E5423D0E3633B
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 KALIREJO,20523142,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7382B2069B343CDC248B
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 PLALANGAN,20523011,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76BC40B581B3FDB2148A
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 SUMBERARGO,20523023,SD,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF45FC64099D6E8B0715
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 TAMAN,20522990,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5959C1101F706FE7AD0A
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 TAMANKURSI,20522989,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/846CD90716CD83E9C675
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 TAMANSARI,20522988,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF737A124E54B162FD8C
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 1 TLOGOSARI,20522983,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABD1A03138A7E4FBCF8B
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 ALASTENGAH,20523054,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/000215EA275DDF933770
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 BADERAN,20523050,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E70E87DCA5CBB21786E
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 KALIREJO,20523028,SD,Negeri,23 Aug 2019 09:18:31,3,80,6,12,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DE0791D613E499001CF
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 PLALANGAN,20522562,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E16499F31067304EF79
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 TAMAN,20549348,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC19E52473B8C178349E
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 TAMANKURSI,20522627,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CF0DAC5D621A3AFCBE0
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 TAMANSARI,20522626,SD,Negeri,23 Aug 2019 09:13:18,8,116,6,10,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/316AD8AC56C56129C833
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 2 TLOGOSARI,20522599,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/324F63360FAE22D35FD6
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 3 ALASTENGAH,69858479,SD,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCBA6C3FC3484DE0FE83
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 3 BADERAN,20522607,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5586ECC177095DEFA503
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 3 PLALANGAN,20522534,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4083D75D314639A25C4
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 3 SUMBERARGO,20522538,SD,Negeri,22 Aug 2019 14:56:55,1,61,6,10,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9194374B050401E73A0A
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 3 TLOGOSARI,20522514,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FB4A47F413754EB68D0
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SD NEGERI 4 TLOGOSARI,20522725,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D55C6DF07D702617ED0
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SMP NEGERI 1 SUMBERMALANG,20522687,SMP,Negeri,20 Aug 2019 05:22:53,1,233,8,17,6,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D9EA1F552BB3C682421
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SMP NEGERI 3 SUMBERMALANG SATU ATAP,20575603,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F570C5E6BBF7330151D7
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SMP NEGERI SATAP 2 SUMBERMALANG,20574949,SMP,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA9C9862E719619A565E
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SMK NURUL HIDAYAH ARGOPURO,69978210,SMK,Swasta,-,0,0,0,0,0,1,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4442968F818A13B56903
Prov. Jawa Timur,Kab. Situbondo,Kec. Sumbermalang,SMK SABDA RIA NADA SUMBERMALANG,69971347,SMK,Swasta,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47110FBDB2801BA8D95B
