provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI CEPOKO 2,20313153,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE2C64DA6B8D22554FB8
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI CEPOKO I,20313154,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E6B450D37555C9A84F0
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI HADILUWIH 1,20313490,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11DA43B03447529B8D9D
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI HADILUWIH 2,20313489,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4F6F82D33EB848B450F
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI JATI 1,20313503,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C12F0A7FE75ADB8BEA12
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI JATI 2,20313486,SD,Negeri,21 Aug 2019 12:03:54,3,50,6,6,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/343D9DD978D82204A925
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI JATI 3,20313472,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E9B8BF1B9C20FF91388
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI KACANGAN 1,20313340,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/760AF01F849D050C918E
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI KACANGAN 2,20313329,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA4D9453C7F7BFA9975B
Prov. Jawa Tengah,Kab. Sragen,Kec. Sumberlawang,SD NEGERI MOJOPURO 3,20312767,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA78AC00FD8C55808DC2
