provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI BUKANAGARA I,20232638,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A226998832793B15E0A
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI BUKANAGARA II,20232639,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A8B6FB18D654540004A
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIGADOG I,20232669,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46EAB2D0E99E986A9E87
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIGADOG II,20232670,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/581D2CEC8A3883312538
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIKENDUNG,20232685,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDC9C12D8DC5778D4845
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIMANGGU I,20232693,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/126D7CAE34B0D5C4E67F
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIMANGGU II,20232694,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06A7D151FCDEA7BF5F55
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CISALAK I,20232716,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1EA4222E2BC78FCEEC0
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CISALAK II,20232717,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73143C6BEDD615A65C6E
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CISALAK III,20232718,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51298F29334705DE6BE2
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CISALAK IV,20232719,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0EC240E4F69732DE57C
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI CIWANGUN,20232723,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09FF74F18705BB0D682F
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI DARMAGA I,20232737,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EF571CCDDDBCA274DB7
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI DARMAGA V,20232741,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65320BC890D2B56AB8E0
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI GARDUSAYANG I,20232780,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F214150C13F1AE532BF3
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI GARDUSAYANG II,20232781,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/219979368E656758B5EB
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI GARDUSAYANG III,20232782,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/727063B46826A25B31B7
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI GARDUSAYANG IV,20232783,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47CD8801B0548B2E0C90
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI MAYANG I,20232992,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A3AB3818F12622FB877
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI NYALINDUNG,20233058,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19B7DF1FFD40DB55A8E8
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI PAKUHAJI I,20233070,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DA9DA8F243B475CDB6C
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI PAKUHAJI II,20233071,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3FA2D0A82DD85BDA80B
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI PAKUHAJI III,20233072,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED05C56E1AE899903101
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI SUKAKERTI I,20233295,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30DAD3144CC59E97A5CB
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI SUKAKERTI II,20233296,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CEEA8B278101C16DC75B
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SD NEGERI SUKAMANAH,20233405,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5FE51D2E33E60E61DB3
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP NEGERI 1 CISALAK,20217050,SMP,Negeri,-,0,0,0,0,0,37,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/100FE3E2B0E8E393C81E
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP NEGERI 2 CISALAK,20264718,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51E681F1CC1A500E4440
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP AL HUSNA,20233593,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/259D98FD4A1D3DBF5AA9
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP CITRA TRI TUNGGAL,20264716,SMP,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C59CD6172200A07E070
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP ISLAM DAARUL QOLAM,69858823,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85763E029AE481A0FA9D
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP ISLAM LEUWINUTUG,69875566,SMP,Swasta,-,0,0,0,0,0,3,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7256AD0A2A64D358E523
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP IT AL-MUAAWANAH,69952404,SMP,Swasta,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31A5FA04FA841B9DD207
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP NU DARUL FALAH,20264717,SMP,Swasta,-,0,0,0,0,0,5,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D514B2290534B8C875FE
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMP PLUS PAGELARAN,20233637,SMP,Swasta,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/156B06704889AF4878A9
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMPS TERPADU DARUL ULUUM,69786279,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A869AC15D48320D21295
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMAS IT BANI MASUM CISALAK,20244793,SMA,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E23E8EE872AD6B2C86E6
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMAS IT DARUSSUUD TANJUNGSIANG,20257336,SMA,Swasta,-,0,0,0,0,0,9,3,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F48AEA0484137D8BB0F9
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMAS PLUS PAGELARAN CISALAK,20233665,SMA,Swasta,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BE143399DB65F38A217
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMK BANI MASUM,69888774,SMK,Swasta,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/675C0599F2258FEC913E
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMK ISLAM LEUWINUTUG,69875559,SMK,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54466B12A91EC391C120
Prov. Jawa Barat,Kab. Subang,Kec. Cisalak,SMKS AL MUBAROK CISALAK,20264739,SMK,Swasta,-,0,0,0,0,0,17,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7B41A06528766FAD8A5
