provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIAWI,20246337,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F36E1175E96AC6AD091
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIBEBER,20208323,SD,Negeri,-,1,77,6,7,1,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3EDCF1D5841284DAEB6D
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIBOBOKO,20233809,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4725C0A65C9C1E5E4AB
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIHIDEUNG,20233825,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/357F1D9ECD674B4B7EC3
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIJEUNGJING I,20233827,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F180B45F22D91C1D822
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIJEUNGJING II,20233828,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5D3FEED5F1B081E2D73
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIKANDANG,20233830,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F80E237D938A67D3356C
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIMUKTI,20208370,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/699547C1531E2BB7AC3E
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CIRANGGEM,20208362,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F064FBBA79A0490D56FA
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI CISAMPIH,20208475,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56F2AC35011EBE438460
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI HEGARMANAH,20208264,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB7CBFDB4666179A57A9
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI KADU,20208269,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/468C1517685457BCAE10
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI KAREDOK,20208243,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8AA2BCB876E353583B96
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI LEBAKSIUH,20208246,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD55CC4D4A74730221BE
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI LEUWIHIEUM,20233919,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAF9B85622530673C44A
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI LONTONG,20208251,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E10E61F2F2BD0FD3F24
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI PAMOYANAN,20208283,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/018B4C2E026F03EF42ED
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI PARAKANKONDANG,20208289,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A122FBFC69403DA144A8
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI PASIRKALIKI,20208495,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B19E48A5EA2B3676DAA1
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SD NEGERI TALAGADATAR,20233993,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76CE02EA43F7658C2605
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SMP NEGERI 1 JATIGEDE,20234057,SMP,Negeri,-,0,0,0,0,0,19,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9577A4C3D2EF3609E7BE
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SMP NEGERI 2 JATIGEDE,20235601,SMP,Negeri,-,0,0,0,0,0,8,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8410C67A835A799A617E
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SMP NEGERI 3 JATIGEDE,20234069,SMP,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E776470AC03A5AD1168
Prov. Jawa Barat,Kab. Sumedang,Kec. Jatigede,SMP Bina Harapan Jatigede,69978766,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9113057C1BC1F97F9CFF
